jogo,data,fase,equipe1,equipe2,gols1_real,gols2_real,placar_real,vencedor_real,status_real,fonte,placar_original,placar_penaltis_real,vencedor_penaltis_real,source_secondary
74,2026-06-29,16 avos de final,Alemanha,Paraguai,1,1,1-1,Paraguai,Finalizado,https://www.theguardian.com/football/live/2026/jun/29/germany-v-paraguay-world-cup-2026-last-32-live | score-feed-worldcup-2026-06-29T23:36Z | ESPN public API event 760489 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Alemanha 1 (3 pen) x 1 (4 pen) Paraguai,3-4,Paraguai,
75,2026-06-29,16 avos de final,Países Baixos,Marrocos,1,1,1-1,Marrocos,Finalizado,https://www.theguardian.com/football/live/2026/jun/29/netherlands-v-morocco-world-cup-2026-live | ESPN public API event 760488 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Países Baixos 1 (2 pen) x 1 (3 pen) Marrocos,2-3,Marrocos,
76,2026-06-29,16 avos de final,Brasil,Japão,2,1,2-1,Brasil,Finalizado,https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/news/brazil-2-1-japan-casemiro-leads-late-turnaround | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb | ESPN public API event 760487 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Brasil 2 x 1 Japão,,,
77,2026-06-30,16 avos de final,França,Suécia,3,0,3-0,França,Finalizado,https://www.aljazeera.com/sports/liveblog/2026/6/30/france-vs-sweden-live-fifa-world-cup-2026 | https://www.reuters.com/sports/soccer/mbappe-uncorks-france-sweden-are-swept-aside-champagne-world-cup-show-2026-06-30/ | https://www.foxsports.com/soccer/fifa-world-cup-men-france-vs-sweden-jun-30-2026-game-boxscore-607907 | ESPN public API event 760492 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),França 3 x 0 Suécia,,,
78,2026-06-30,16 avos de final,Costa do Marfim,Noruega,1,2,1-2,Noruega,Finalizado,https://www.reuters.com/sports/soccer/haaland-hero-again-norway-edge-ivory-coast-advance-world-cup-2026-06-30/ | https://www.aljazeera.com/amp/sports/liveblog/2026/6/30/ivory-coast-vs-norway-live-fifa-world-cup-2026 | ESPN public API event 760490 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Costa do Marfim 1 x 2 Noruega,,,
79,2026-06-30,16 avos de final,México,Equador,2,0,2-0,México,Finalizado,https://www.reuters.com/sports/soccer/mexico-beat-ecuador-2-0-reach-world-cup-last-16-end-knockout-hoodoo-2026-07-01/ | https://www.aljazeera.com/news/2026/7/1/mexico-ecuador-fifa-world-cup-2026-score-jimenez-quinones-hincapie | https://www.theguardian.com/football/live/2026/jul/01/fifa-world-cup-2026-live-mexico-v-ecuador-updates-mex-vs-ecu-last-round-32-match-score-latest | ESPN public API event 760491 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),México 2 x 0 Equador,,,
80,2026-07-01,16 avos de final,Inglaterra,RD Congo,2,1,2-1,Inglaterra,Finalizado,https://www.aljazeera.com/sports/2026/7/1/kane-double-fires-england-to-comeback-win-over-dr-congo-at-world-cup-2026 | https://www.reuters.com/sports/soccer/dr-congo-leave-positive-image-says-coach-after-epic-battle-with-england-2026-07-01/ | https://www.foxsports.com/soccer/fifa-world-cup-men-england-vs-dr-congo-jul-01-2026-game-boxscore-607912 | ESPN public API event 760495 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Inglaterra 2 x 1 RD Congo,,,
81,2026-07-01,16 avos de final,Estados Unidos,Bósnia e Herzegovina,2,0,2-0,Estados Unidos,Finalizado,https://www.theguardian.com/football/live/2026/jul/01/usa-v-bosnia-and-herzegovina-world-cup-2026-last-32-live | https://www.aljazeera.com/sports/liveblog/2026/7/1/live-usa-vs-bosnia-and-herzegovina-fifa-world-cup-2026 | ESPN public API event 760494 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Estados Unidos 2 x 0 Bósnia e Herzegovina,,,
82,2026-07-01,16 avos de final,Bélgica,Senegal,3,2,3-2,Bélgica,Finalizado,https://www.fifa.com/en/articles/belgium-senegal-review-highlights | https://www.reuters.com/sports/soccer/belgium-through-world-cup-last-16-with-dramatic-3-2-win-over-senegal-2026-07-01/ | https://www.theguardian.com/football/live/2026/jul/01/belgium-v-senegal-world-cup-last-32-live | ESPN public API event 760493 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Bélgica 3 x 2 Senegal (após prorrogação),,,
83,2026-07-02,16 avos de final,Portugal,Croácia,2,1,2-1,Portugal,Finalizado,https://www.theguardian.com/football/live/2026/jul/02/portugal-v-croatia-world-cup-2026-last-32-live | https://www.espn.co.uk/football/story/_/id/49256422/fifa-var-correctly-denied-croatia-equaliser-portugal | ESPN public API event 760496 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Portugal 2 x 1 Croácia,,,
84,2026-07-02,16 avos de final,Espanha,Áustria,3,0,3-0,Espanha,Finalizado,https://www.aljazeera.com/sports/liveblog/2026/7/2/spain-vs-austria-live-fifa-world-cup-2026 | https://www.reuters.com/sports/soccer/spain-sweep-aside-austria-3-0-reach-world-cup-last-16-2026-07-02/ | ESPN public API event 760497 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Espanha 3 x 0 Áustria,,,
85,2026-07-02,16 avos de final,Suíça,Argélia,2,0,2-0,Suíça,Finalizado,https://www.reuters.com/sports/soccer/slick-switzerland-sweep-past-algeria-into-world-cup-last-16-2026-07-03/ | ESPN public API event 760498 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Suíça 2 x 0 Argélia,,,
86,2026-07-03,16 avos de final,Argentina,Cabo Verde,3,2,3-2,Argentina,Finalizado,https://www.thetimes.com/sport/football/world-cup/article/world-cup-2026-latest-news-live-score-team-updates-argentina-egypt-ghana-ngnph69nn | https://www.theguardian.com/football/live/2026/jul/03/argentina-v-cape-verde-world-cup-2026-last-32-live | ESPN public API event 760500 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Argentina 3 x 2 Cabo Verde (após prorrogação),,,
87,2026-07-03,16 avos de final,Colômbia,Gana,3,0,3-0,Colômbia,Finalizado,https://www.espn.com/soccer/match/_/gameId/760501/ghana-colombia | https://www.foxsports.com/soccer/fifa-world-cup-men-colombia-vs-ghana-jul-03-2026-game-boxscore-607917,Colômbia 3 x 0 Gana,,,
88,2026-07-03,16 avos de final,Austrália,Egito,1,1,1-1,Egito,Finalizado,https://www.theguardian.com/football/2026/jul/04/australia-egypt-player-ratings-world-cup-last-round-32 | https://www.thetimes.com/sport/football/world-cup/article/world-cup-2026-latest-news-live-score-team-updates-argentina-egypt-ghana-ngnph69nn | ESPN public API event 760499 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Austrália 1 (2 pen) x 1 (4 pen) Egito,2-4,Egito,
