jogo,fase,grupo,data,equipe1_prevista,equipe2_prevista,placar_previsto_original,gols1_previsto_original,gols2_previsto_original,placar_previsto_atual,gols1_previsto_atual,gols2_previsto_atual,vencedor_previsto_original,vencedor_previsto_atual,tipo_previsao,confianca_modelo,xg1_modelo,xg2_modelo,prob_vitoria_equipe1,prob_empate,prob_vitoria_equipe2,prob_classificacao_equipe1,prob_classificacao_equipe2,fonte_previsao,arbitro_principal,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10
90,Oitavas de final,,2026-07-04,Paraguai,França,0-1,0,1,0-1,0,1,França,França,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,0.775,1.299,0.2213,0.2773,0.5013,0.3156,0.6844,Modelo diário recalibrado,PINHEIRO Joao,4.5,4.5
91,Oitavas de final,,2026-07-05,Brasil,Costa do Marfim,1-0,1,0,1-0,1,0,Brasil,Brasil,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.387,0.764,0.5289,0.2639,0.2072,0.703,0.297,Modelo diário recalibrado,RAMON ABATTI,8.2,7.0
92,Oitavas de final,,2026-07-05,México,Inglaterra,1-0,1,0,1-0,1,0,México,México,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.047,0.916,0.3692,0.3348,0.296,0.5354,0.4646,Modelo diário recalibrado,RAMOS Cesar,5.9,7.9
93,Oitavas de final,,2026-07-06,Portugal,Espanha,1-2,1,2,1-2,1,2,Espanha,Espanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.068,1.054,0.3656,0.289,0.3454,0.4868,0.5132,Modelo diário recalibrado,ROJAS Andres,7.6,6.3
94,Oitavas de final,,2026-07-06,Estados Unidos,Bélgica,2-1,2,1,2-1,2,1,Estados Unidos,Estados Unidos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.25,1.019,0.3971,0.2812,0.3217,0.5249,0.4751,Modelo diário recalibrado,SCHAERER Sandro,5.1,7.4
95,Oitavas de final,,2026-07-07,Argentina,Austrália,1-0,1,0,1-0,1,0,Argentina,Argentina,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.389,0.637,0.5637,0.2648,0.1715,0.7385,0.2615,Modelo diário recalibrado,TANTASHEV Ilgiz,5.5,7.3
96,Oitavas de final,,2026-07-07,Suíça,Colômbia,1-0,1,0,1-0,1,0,Suíça,Suíça,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.093,0.89,0.3939,0.2921,0.314,0.5451,0.4549,Modelo diário recalibrado,TAYLOR Anthony,6.3,6.4
97,Quartas de final,,2026-07-09,Marrocos,França,1-2,1,2,1-2,1,2,França,França,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.036,1.171,0.3113,0.281,0.4076,0.453,0.547,Modelo diário recalibrado,TEJERA Gustavo,5.1,5.1
98,Quartas de final,,2026-07-10,Espanha,Estados Unidos,2-1,2,1,2-1,2,1,Espanha,Espanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.139,1.153,0.3721,0.2703,0.3576,0.5289,0.4711,Modelo diário recalibrado,TELLO Facundo,5.3,5.7
99,Quartas de final,,2026-07-11,Brasil,México,1-0,1,0,1-0,1,0,Brasil,Brasil,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.066,0.885,0.3846,0.2961,0.3193,0.5462,0.4538,Modelo diário recalibrado,TOM Abongile,5.0,4.5
100,Quartas de final,,2026-07-11,Suíça,Argentina,1-2,1,2,1-2,1,2,Argentina,Argentina,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.016,1.151,0.3144,0.2801,0.4055,0.4413,0.5587,Modelo diário recalibrado,TURPIN Clement,4.9,6.7
101,Semifinais,,2026-07-14,França,Espanha,1-2,1,2,1-2,1,2,Espanha,Espanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.153,1.134,0.3561,0.2706,0.3734,0.4748,0.5252,Modelo diário recalibrado,VALENZUELA Jesus,6.5,7.9
102,Semifinais,,2026-07-15,Brasil,Argentina,1-2,1,2,1-2,1,2,Argentina,Argentina,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.096,1.072,0.3532,0.2847,0.3621,0.4981,0.5019,Modelo diário recalibrado,VINCIC Slavko,5.0,5.1
103,Disputa de 3º lugar,,2026-07-18,França,Brasil,1-2,1,2,1-2,1,2,Brasil,Brasil,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.035,1.237,0.3194,0.27,0.4105,0.4339,0.5661,Modelo diário recalibrado,WILTON SAMPAIO,4.9,5.1
104,Final,,2026-07-19,Espanha,Argentina,1-2,1,2,1-2,1,2,Argentina,Argentina,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.01,1.199,0.3239,0.2839,0.3922,0.4635,0.5365,Modelo diário recalibrado,ZWAYER Felix,8.2,6.4
