jogo,jogo_original_fonte,espn_event_id,team,team_espn,team_norm,source_url,collected_at,stat_foulsCommitted,stat_yellowCards,stat_redCards,stat_offsides,stat_wonCorners,stat_saves,stat_possessionPct,stat_totalShots,stat_shotsOnTarget,stat_shotPct,stat_penaltyKickGoals,stat_penaltyKickShots,stat_accuratePasses,stat_totalPasses,stat_passPct,stat_accurateCrosses,stat_totalCrosses,stat_crossPct,stat_totalLongBalls,stat_accurateLongBalls,stat_longballPct,stat_blockedShots,stat_effectiveTackles,stat_totalTackles,stat_tacklePct,stat_interceptions,stat_effectiveClearance,stat_totalClearance,source_file,temporal_status
32,32,760442,Austrália,Australia,australia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760442,2026-07-20T17:25:12.752480+00:00,16,4,0,0,4,1,38.1,5,2,0.4,0,0,219,310,0.7,4,19,0.2,46,19,0.4,0,11,13,0.8,6,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760442__3b841fa2875435de.json,POST_MATCH_BACKFILLED_FACT
32,32,760442,Estados Unidos,United States,estados unidos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760442,2026-07-20T17:25:12.752267+00:00,12,3,0,1,7,2,61.9,10,2,0.2,0,0,444,523,0.8,4,14,0.3,59,26,0.4,6,8,20,0.4,20,31,31,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760442__3b841fa2875435de.json,POST_MATCH_BACKFILLED_FACT
33,33,760448,Alemanha,Germany,alemanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760448,2026-07-20T17:25:31.362704+00:00,5,0,0,0,8,1,59.5,16,7,0.4,0,0,555,624,0.9,5,21,0.2,31,18,0.6,4,17,26,0.7,8,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760448__055c8e970994ce74.json,POST_MATCH_BACKFILLED_FACT
33,33,760448,Costa do Marfim,Ivory Coast,costa do marfim,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760448,2026-07-20T17:25:31.362894+00:00,7,0,0,1,3,5,40.5,9,2,0.2,0,0,367,431,0.9,5,9,0.6,57,28,0.5,5,11,20,0.6,13,26,26,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760448__055c8e970994ce74.json,POST_MATCH_BACKFILLED_FACT
34,34,760446,Curaçao,Curaçao,curacao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760446,2026-07-20T17:25:33.963087+00:00,10,5,0,2,0,15,25.4,10,3,0.3,0,0,159,227,0.7,1,1,1.0,50,15,0.3,3,7,17,0.4,8,32,32,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760446__4989b79e1999aa3b.json,POST_MATCH_BACKFILLED_FACT
34,34,760446,Equador,Ecuador,equador,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760446,2026-07-20T17:25:33.962873+00:00,7,1,0,1,9,3,74.6,27,15,0.6,0,0,581,644,0.9,11,33,0.3,34,14,0.4,2,11,19,0.6,7,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760446__4989b79e1999aa3b.json,POST_MATCH_BACKFILLED_FACT
35,35,760447,Países Baixos,Netherlands,paises baixos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760447,2026-07-20T17:25:28.651485+00:00,9,0,0,3,2,7,50.9,10,7,0.7,0,0,398,449,0.9,3,16,0.2,35,18,0.5,1,8,15,0.5,8,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760447__8f18acf65cee1ba1.json,POST_MATCH_BACKFILLED_FACT
35,35,760447,Suécia,Sweden,suecia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760447,2026-07-20T17:25:28.651689+00:00,12,3,0,3,5,2,49.1,16,8,0.5,0,0,361,425,0.8,3,21,0.1,30,6,0.2,3,9,18,0.5,5,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760447__8f18acf65cee1ba1.json,POST_MATCH_BACKFILLED_FACT
36,36,760449,Japão,Japan,japao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760449,2026-07-20T17:25:37.067645+00:00,15,0,0,1,5,0,62.1,11,5,0.5,0,0,521,583,0.9,2,11,0.2,32,18,0.6,3,12,18,0.7,7,25,25,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760449__9acf2d7c5fb896a4.json,POST_MATCH_BACKFILLED_FACT
36,36,760449,Tunísia,Tunisia,tunisia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760449,2026-07-20T17:25:37.067460+00:00,8,0,0,1,3,1,37.9,2,0,0.0,0,0,284,354,0.8,2,10,0.2,56,16,0.3,1,16,18,0.9,14,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760449__9acf2d7c5fb896a4.json,POST_MATCH_BACKFILLED_FACT
37,37,760450,Cabo Verde,Cape Verde,cabo verde,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760450,2026-07-20T17:25:47.240854+00:00,4,2,0,0,4,0,34.8,12,4,0.3,0,0,205,278,0.7,2,7,0.3,61,18,0.3,4,15,16,0.9,13,48,48,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760450__0b7b2f5c0df0afdc.json,POST_MATCH_BACKFILLED_FACT
37,37,760450,Uruguai,Uruguay,uruguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760450,2026-07-20T17:25:47.240660+00:00,11,2,0,3,11,2,65.2,17,2,0.1,0,0,420,511,0.8,4,29,0.1,48,23,0.5,7,8,16,0.5,7,11,11,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760450__0b7b2f5c0df0afdc.json,POST_MATCH_BACKFILLED_FACT
38,38,760453,Arábia Saudita,Saudi Arabia,arabia saudita,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760453,2026-07-20T17:25:42.551631+00:00,2,2,0,3,1,5,32.9,3,1,0.3,0,0,294,364,0.8,0,5,0.0,35,14,0.4,1,12,15,0.8,13,35,35,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760453__221def637b8e4150.json,POST_MATCH_BACKFILLED_FACT
38,38,760453,Espanha,Spain,espanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760453,2026-07-20T17:25:42.551442+00:00,10,0,0,2,6,1,67.1,22,8,0.4,0,0,668,726,0.9,7,25,0.3,38,28,0.7,2,8,10,0.8,13,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760453__221def637b8e4150.json,POST_MATCH_BACKFILLED_FACT
39,39,760451,Bélgica,Belgium,belgica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760451,2026-07-20T17:25:44.920020+00:00,7,1,1,3,4,3,70.1,23,7,0.3,0,0,533,621,0.9,6,32,0.2,35,12,0.3,6,7,12,0.6,3,11,11,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760451__090a6ceeaaf51595.json,POST_MATCH_BACKFILLED_FACT
39,39,760451,Irã,Iran,ira,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760451,2026-07-20T17:25:44.920341+00:00,9,1,0,4,2,7,29.9,7,3,0.4,0,0,198,270,0.7,2,8,0.3,50,18,0.4,1,11,19,0.6,12,51,51,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760451__090a6ceeaaf51595.json,POST_MATCH_BACKFILLED_FACT
40,40,760452,Egito,Egypt,egito,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760452,2026-07-20T17:25:51.496391+00:00,8,1,0,0,4,4,55.6,19,7,0.4,0,0,460,526,0.9,7,22,0.3,48,22,0.5,6,13,16,0.8,6,37,37,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760452__9bf8a0830993daf4.json,POST_MATCH_BACKFILLED_FACT
40,40,760452,Nova Zelândia,New Zealand,nova zelandia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760452,2026-07-20T17:25:51.496207+00:00,14,2,0,3,4,4,44.4,11,5,0.5,0,0,337,421,0.8,3,15,0.2,50,20,0.4,3,6,12,0.5,4,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760452__9bf8a0830993daf4.json,POST_MATCH_BACKFILLED_FACT
41,41,760454,Noruega,Norway,noruega,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760454,2026-07-20T17:26:03.418968+00:00,13,0,0,0,5,2,41.7,13,7,0.5,0,0,282,353,0.8,3,10,0.3,51,25,0.5,3,9,10,0.9,8,26,26,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760454__dac43080093ab644.json,POST_MATCH_BACKFILLED_FACT
41,41,760454,Senegal,Senegal,senegal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760454,2026-07-20T17:26:03.419205+00:00,5,0,0,4,4,3,58.3,16,4,0.3,0,0,430,489,0.9,8,23,0.3,58,37,0.6,5,7,16,0.4,10,18,18,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760454__dac43080093ab644.json,POST_MATCH_BACKFILLED_FACT
42,42,760457,França,France,franca,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760457,2026-07-20T17:25:58.800967+00:00,8,0,0,1,4,0,55.6,19,5,0.3,0,0,540,603,0.9,2,14,0.1,30,17,0.6,4,9,14,0.6,5,9,9,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760457__0c790e5443451468.json,POST_MATCH_BACKFILLED_FACT
42,42,760457,Iraque,Iraq,iraque,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760457,2026-07-20T17:25:58.801283+00:00,4,1,0,0,2,2,44.4,4,0,0.0,0,0,413,481,0.9,4,9,0.4,51,21,0.4,1,8,16,0.5,10,28,28,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760457__0c790e5443451468.json,POST_MATCH_BACKFILLED_FACT
43,43,760456,Argentina,Argentina,argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760456,2026-07-20T17:25:55.167830+00:00,13,2,0,2,1,1,53.6,12,5,0.4,0,1,494,554,0.9,1,4,0.3,27,12,0.4,3,11,21,0.5,8,35,35,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760456__3b1861ea53c18e0f.json,POST_MATCH_BACKFILLED_FACT
43,43,760456,Áustria,Austria,austria,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760456,2026-07-20T17:25:55.168043+00:00,13,2,0,0,3,2,46.4,6,1,0.2,0,0,401,468,0.9,3,17,0.2,21,11,0.5,0,7,12,0.6,9,15,15,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760456__3b1861ea53c18e0f.json,POST_MATCH_BACKFILLED_FACT
44,44,760455,Argélia,Algeria,argelia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760455,2026-07-20T17:26:08.736995+00:00,6,1,0,0,10,3,72.1,17,8,0.5,0,0,561,641,0.9,5,21,0.2,44,19,0.4,5,18,25,0.7,11,15,15,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760455__338f59954bb9d1ae.json,POST_MATCH_BACKFILLED_FACT
44,44,760455,Jordânia,Jordan,jordania,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760455,2026-07-20T17:26:08.736670+00:00,11,1,0,1,1,6,27.9,8,4,0.5,0,0,181,251,0.7,2,5,0.4,53,23,0.4,0,17,30,0.6,3,36,36,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760455__338f59954bb9d1ae.json,POST_MATCH_BACKFILLED_FACT
45,45,760458,Gana,Ghana,gana,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760458,2026-07-20T17:26:15.123595+00:00,24,1,0,2,2,3,21.1,2,1,0.5,0,0,127,172,0.7,0,5,0.0,57,24,0.4,1,17,22,0.8,8,39,39,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760458__f8cd4fa00c5ae38c.json,POST_MATCH_BACKFILLED_FACT
45,45,760458,Inglaterra,England,inglaterra,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760458,2026-07-20T17:26:15.123363+00:00,14,1,0,2,9,0,78.9,19,3,0.2,0,0,586,633,0.9,7,30,0.2,26,14,0.5,6,7,14,0.5,1,6,6,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760458__f8cd4fa00c5ae38c.json,POST_MATCH_BACKFILLED_FACT
46,46,760460,Croácia,Croatia,croacia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760460,2026-07-20T17:26:19.171767+00:00,12,1,0,2,2,1,58.0,6,2,0.3,0,0,432,512,0.8,5,18,0.3,51,19,0.4,1,7,19,0.4,5,38,38,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760460__8572e9d272faff1f.json,POST_MATCH_BACKFILLED_FACT
46,46,760460,Panamá,Panama,panama,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760460,2026-07-20T17:26:19.171559+00:00,19,1,0,1,7,1,42.0,8,1,0.1,0,0,277,352,0.8,6,31,0.2,54,25,0.5,2,5,10,0.5,5,29,29,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760460__8572e9d272faff1f.json,POST_MATCH_BACKFILLED_FACT
47,47,760461,Portugal,Portugal,portugal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760461,2026-07-20T17:26:11.492719+00:00,14,1,0,2,3,2,65.9,17,9,0.5,0,0,561,624,0.9,5,22,0.2,40,22,0.6,3,10,14,0.7,6,16,16,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760461__ad4f9c7ba681ab50.json,POST_MATCH_BACKFILLED_FACT
47,47,760461,Uzbequistão,Uzbekistan,uzbequistao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760461,2026-07-20T17:26:11.492910+00:00,15,1,0,2,2,4,34.1,7,2,0.3,0,0,262,327,0.8,0,8,0.0,30,9,0.3,3,13,18,0.7,14,30,30,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760461__ad4f9c7ba681ab50.json,POST_MATCH_BACKFILLED_FACT
48,48,760459,Colômbia,Colombia,colombia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760459,2026-07-20T17:26:21.329456+00:00,12,2,0,7,5,1,63.5,20,9,0.5,0,0,473,541,0.9,3,12,0.3,66,40,0.6,6,6,10,0.6,10,18,18,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760459__b8bbc1bde3ec75a6.json,POST_MATCH_BACKFILLED_FACT
48,48,760459,RD Congo,Congo DR,rd congo,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760459,2026-07-20T17:26:21.329777+00:00,16,1,0,0,4,8,36.5,7,1,0.1,0,0,226,299,0.8,4,14,0.3,48,14,0.3,2,10,15,0.7,7,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760459__b8bbc1bde3ec75a6.json,POST_MATCH_BACKFILLED_FACT
49,49,760465,Brasil,Brazil,brasil,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760465,2026-07-20T17:26:39.878680+00:00,11,2,0,1,7,5,54.0,21,9,0.4,0,0,564,605,0.9,2,12,0.2,27,12,0.4,5,6,14,0.4,13,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760465__fbc950bb07a5456e.json,POST_MATCH_BACKFILLED_FACT
49,49,760465,Escócia,Scotland,escocia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760465,2026-07-20T17:26:39.878461+00:00,10,1,0,0,7,5,46.0,14,5,0.4,0,0,450,500,0.9,9,23,0.4,33,17,0.5,3,8,12,0.7,2,13,13,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760465__fbc950bb07a5456e.json,POST_MATCH_BACKFILLED_FACT
50,50,760464,Haiti,Haiti,haiti,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760464,2026-07-20T17:26:34.785839+00:00,18,3,0,0,1,8,30.9,9,2,0.2,0,0,198,247,0.8,2,3,0.7,44,21,0.5,3,12,25,0.5,16,26,26,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760464__94c3e3d69797949e.json,POST_MATCH_BACKFILLED_FACT
50,50,760464,Marrocos,Morocco,marrocos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760464,2026-07-20T17:26:34.785516+00:00,10,0,0,5,9,1,69.1,22,11,0.5,0,0,477,541,0.9,7,22,0.3,34,17,0.5,5,8,20,0.4,8,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760464__94c3e3d69797949e.json,POST_MATCH_BACKFILLED_FACT
51,51,760463,Canadá,Canada,canada,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760463,2026-07-20T17:26:30.674412+00:00,13,2,0,3,7,2,44.7,13,7,0.5,0,0,271,339,0.8,6,26,0.2,43,20,0.5,3,5,9,0.6,13,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760463__815600f594f1437e.json,POST_MATCH_BACKFILLED_FACT
51,51,760463,Suíça,Switzerland,suica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760463,2026-07-20T17:26:30.674224+00:00,19,1,0,1,2,6,55.3,6,4,0.7,0,0,369,443,0.8,1,6,0.2,45,17,0.4,1,7,16,0.4,4,44,44,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760463__815600f594f1437e.json,POST_MATCH_BACKFILLED_FACT
52,52,760462,Bósnia e Herzegovina,Bosnia-Herzegovina,bosnia e herzegovina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760462,2026-07-20T17:26:25.444703+00:00,9,1,0,1,5,2,54.4,14,5,0.4,0,0,452,515,0.9,3,22,0.1,50,30,0.6,5,9,10,0.9,4,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760462__d070483239ab9dfd.json,POST_MATCH_BACKFILLED_FACT
52,52,760462,Catar,Qatar,catar,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760462,2026-07-20T17:26:25.444906+00:00,14,1,0,3,5,3,45.6,9,3,0.3,0,0,371,434,0.9,5,17,0.3,52,16,0.3,0,5,13,0.4,4,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760462__d070483239ab9dfd.json,POST_MATCH_BACKFILLED_FACT
53,53,760467,México,Mexico,mexico,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760467,2026-07-20T17:26:49.343466+00:00,13,1,0,0,1,1,48.1,11,5,0.5,0,0,330,386,0.9,1,12,0.1,55,34,0.6,2,8,12,0.7,7,30,30,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760467__598d92bfbf4cf6ad.json,POST_MATCH_BACKFILLED_FACT
53,53,760467,Tchéquia,Czechia,tchequia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760467,2026-07-20T17:26:49.343248+00:00,9,0,0,1,5,2,51.9,13,1,0.1,0,0,333,398,0.8,5,26,0.2,53,20,0.4,4,7,12,0.6,5,20,20,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760467__598d92bfbf4cf6ad.json,POST_MATCH_BACKFILLED_FACT
54,54,760466,África do Sul,South Africa,africa do sul,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760466,2026-07-20T17:26:44.132799+00:00,7,1,0,3,4,2,31.6,13,4,0.3,0,0,277,340,0.8,1,8,0.1,57,19,0.3,4,7,11,0.6,15,40,40,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760466__0224cf684669b3e4.json,POST_MATCH_BACKFILLED_FACT
54,54,760466,Coreia do Sul,South Korea,coreia do sul,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760466,2026-07-20T17:26:44.133159+00:00,9,1,0,0,6,3,68.4,8,3,0.4,0,0,641,719,0.9,7,34,0.2,52,29,0.6,1,9,12,0.8,4,16,16,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760466__0224cf684669b3e4.json,POST_MATCH_BACKFILLED_FACT
55,55,760473,Costa do Marfim,Ivory Coast,costa do marfim,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760473,2026-07-20T17:26:57.346531+00:00,6,1,0,1,6,2,63.3,7,3,0.4,0,0,558,624,0.9,3,16,0.2,38,20,0.5,1,9,16,0.6,12,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760473__f6a514f1ad77ae9b.json,POST_MATCH_BACKFILLED_FACT
55,55,760473,Curaçao,Curaçao,curacao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760473,2026-07-20T17:26:57.346329+00:00,11,2,0,2,4,1,36.7,11,2,0.2,0,0,295,355,0.8,5,15,0.3,30,14,0.5,2,11,17,0.6,15,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760473__f6a514f1ad77ae9b.json,POST_MATCH_BACKFILLED_FACT
56,56,760468,Alemanha,Germany,alemanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760468,2026-07-20T17:26:53.368242+00:00,10,1,0,0,2,1,61.1,11,3,0.3,0,0,517,592,0.9,5,16,0.3,37,17,0.5,5,13,20,0.7,4,15,15,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760468__905b68f4bb87b1d9.json,POST_MATCH_BACKFILLED_FACT
56,56,760468,Equador,Ecuador,equador,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760468,2026-07-20T17:26:53.368060+00:00,15,3,0,1,3,2,38.9,7,3,0.4,0,0,312,378,0.8,3,13,0.2,50,24,0.5,2,16,26,0.6,12,30,30,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760468__905b68f4bb87b1d9.json,POST_MATCH_BACKFILLED_FACT
57,57,760471,Japão,Japan,japao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760471,2026-07-20T17:27:01.085214+00:00,20,1,0,3,2,4,52.3,8,3,0.4,0,0,378,445,0.8,4,13,0.3,49,18,0.4,2,7,13,0.5,4,40,40,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760471__3a2ca2364404e728.json,POST_MATCH_BACKFILLED_FACT
57,57,760471,Suécia,Sweden,suecia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760471,2026-07-20T17:27:01.085455+00:00,11,2,0,2,8,2,47.7,11,5,0.5,0,0,312,395,0.8,4,16,0.3,50,18,0.4,3,3,7,0.4,5,21,21,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760471__3a2ca2364404e728.json,POST_MATCH_BACKFILLED_FACT
58,58,760472,Países Baixos,Netherlands,paises baixos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760472,2026-07-20T17:27:04.706232+00:00,10,0,0,1,6,3,71.4,20,7,0.4,0,0,602,647,0.9,6,27,0.2,22,15,0.7,5,5,8,0.6,10,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760472__b2c797030e8796db.json,POST_MATCH_BACKFILLED_FACT
58,58,760472,Tunísia,Tunisia,tunisia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760472,2026-07-20T17:27:04.706038+00:00,11,0,0,2,4,4,28.6,10,4,0.4,0,0,199,258,0.8,4,13,0.3,47,20,0.4,1,9,17,0.5,8,35,35,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760472__b2c797030e8796db.json,POST_MATCH_BACKFILLED_FACT
59,59,760470,Estados Unidos,United States,estados unidos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760470,2026-07-20T17:27:12.016751+00:00,13,1,0,5,9,1,52.6,18,7,0.4,0,0,398,471,0.8,5,19,0.3,42,16,0.4,5,9,14,0.6,9,27,27,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760470__820cc52d81aa6aa3.json,POST_MATCH_BACKFILLED_FACT
59,59,760470,Turquia,Türkiye,turquia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760470,2026-07-20T17:27:12.016522+00:00,13,0,0,2,2,5,47.4,9,3,0.3,0,0,335,434,0.8,0,12,0.0,66,24,0.4,2,20,32,0.6,9,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760470__820cc52d81aa6aa3.json,POST_MATCH_BACKFILLED_FACT
60,60,760469,Austrália,Australia,australia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760469,2026-07-20T17:27:08.354467+00:00,6,1,0,0,3,2,56.0,12,5,0.4,0,0,438,537,0.8,4,13,0.3,58,17,0.3,3,12,20,0.6,7,10,10,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760469__8297d3a4994025a7.json,POST_MATCH_BACKFILLED_FACT
60,60,760469,Paraguai,Paraguay,paraguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760469,2026-07-20T17:27:08.354112+00:00,9,1,0,0,1,5,44.0,7,2,0.3,0,0,330,426,0.8,0,7,0.0,59,14,0.2,1,17,24,0.7,8,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760469__8297d3a4994025a7.json,POST_MATCH_BACKFILLED_FACT
61,61,760475,França,France,franca,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760475,2026-07-20T17:27:21.535646+00:00,11,1,0,2,5,3,56.7,18,9,0.5,0,0,480,555,0.9,3,10,0.3,53,28,0.5,3,12,17,0.7,11,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760475__39bcbb6f113e7213.json,POST_MATCH_BACKFILLED_FACT
61,61,760475,Noruega,Norway,noruega,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760475,2026-07-20T17:27:21.535363+00:00,9,1,0,1,4,5,43.3,10,4,0.4,0,1,343,421,0.8,3,9,0.3,40,18,0.5,3,11,17,0.6,13,16,16,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760475__39bcbb6f113e7213.json,POST_MATCH_BACKFILLED_FACT
62,62,760474,Iraque,Iraq,iraque,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760474,2026-07-20T17:27:16.335289+00:00,11,2,1,0,3,7,30.8,6,1,0.2,0,0,184,266,0.7,0,6,0.0,68,13,0.2,4,13,20,0.7,7,34,34,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760474__81b10a7b065836a1.json,POST_MATCH_BACKFILLED_FACT
62,62,760474,Senegal,Senegal,senegal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760474,2026-07-20T17:27:16.335082+00:00,10,2,0,1,12,1,69.2,28,12,0.4,0,0,517,590,0.9,7,25,0.3,43,23,0.5,5,9,12,0.8,2,10,10,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760474__81b10a7b065836a1.json,POST_MATCH_BACKFILLED_FACT
63,63,760476,Egito,Egypt,egito,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760476,2026-07-20T17:27:34.951293+00:00,11,3,0,0,8,2,61.4,15,3,0.2,0,0,513,589,0.9,4,15,0.3,44,18,0.4,6,10,17,0.6,7,38,38,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760476__a9b67fe45fc186e1.json,POST_MATCH_BACKFILLED_FACT
