jogo,jogo_original_fonte,data,fase,equipe1,equipe2,gols1_real,gols2_real,placar_real,gols1_90,gols2_90,vencedor_real,status_real,decision_method,placar_penaltis_real,vencedor_penaltis_real,fonte,source_secondary,espn_event_id,collected_at,source_sha256,validation_status,confidence,review_required,conflict_reason,mapping_confidence,participant_change_required,scoreboard_summary_agree,fifa_agrees,source_data,source_equipe1,source_equipe2,source_orientation_swapped,canonical_result_agrees
47,47,2026-06-23,Fase de grupos,Portugal,Uzbequistão,5,0,5-0,,,Portugal,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760461,760461,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-23,Portugal,Uzbequistão,False,True
48,48,2026-06-23,Fase de grupos,Colômbia,RD Congo,1,0,1-0,,,Colômbia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760459,760459,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-23,Colômbia,RD Congo,False,True
49,49,2026-06-24,Fase de grupos,Escócia,Brasil,0,3,0-3,,,Brasil,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760465,760465,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-24,Escócia,Brasil,False,True
50,50,2026-06-24,Fase de grupos,Marrocos,Haiti,4,2,4-2,,,Marrocos,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760464,760464,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-24,Marrocos,Haiti,False,True
51,51,2026-06-24,Fase de grupos,Suíça,Canadá,2,1,2-1,,,Suíça,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760463,760463,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-24,Suíça,Canadá,False,True
52,52,2026-06-24,Fase de grupos,Bósnia e Herzegovina,Catar,3,1,3-1,,,Bósnia e Herzegovina,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760462,760462,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-24,Bósnia e Herzegovina,Catar,False,True
53,53,2026-06-24,Fase de grupos,Tchéquia,México,0,3,0-3,,,México,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760467,760467,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-24,Tchéquia,México,False,True
54,54,2026-06-24,Fase de grupos,África do Sul,Coreia do Sul,1,0,1-0,,,África do Sul,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760466,760466,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-24,África do Sul,Coreia do Sul,False,True
55,55,2026-06-25,Fase de grupos,Curaçao,Costa do Marfim,0,2,0-2,,,Costa do Marfim,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760473,760473,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-25,Curaçao,Costa do Marfim,False,True
56,56,2026-06-25,Fase de grupos,Equador,Alemanha,2,1,2-1,,,Equador,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760468,760468,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-25,Equador,Alemanha,False,True
57,57,2026-06-25,Fase de grupos,Japão,Suécia,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760471,760471,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-25,Japão,Suécia,False,True
58,58,2026-06-25,Fase de grupos,Tunísia,Países Baixos,1,3,1-3,,,Países Baixos,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760472,760472,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-25,Tunísia,Países Baixos,False,True
59,59,2026-06-25,Fase de grupos,Turquia,Estados Unidos,3,2,3-2,,,Turquia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760470,760470,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-25,Turquia,Estados Unidos,False,True
60,60,2026-06-25,Fase de grupos,Paraguai,Austrália,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760469,760469,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-25,Paraguai,Austrália,False,True
61,61,2026-06-26,Fase de grupos,Noruega,França,1,4,1-4,,,França,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760475,760475,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-26,Noruega,França,False,True
62,62,2026-06-26,Fase de grupos,Senegal,Iraque,5,0,5-0,,,Senegal,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760474,760474,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-26,Senegal,Iraque,False,True
63,63,2026-06-26,Fase de grupos,Egito,Irã,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760476,760476,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-26,Egito,Irã,False,True
64,64,2026-06-26,Fase de grupos,Nova Zelândia,Bélgica,1,5,1-5,,,Bélgica,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760477,760477,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-26,Nova Zelândia,Bélgica,False,True
65,65,2026-06-26,Fase de grupos,Cabo Verde,Arábia Saudita,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478,760478,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-26,Cabo Verde,Arábia Saudita,False,True
66,66,2026-06-26,Fase de grupos,Uruguai,Espanha,0,1,0-1,,,Espanha,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760479,760479,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-26,Uruguai,Espanha,False,True
67,67,2026-06-27,Fase de grupos,Panamá,Inglaterra,0,2,0-2,,,Inglaterra,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760485,760485,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-27,Panamá,Inglaterra,False,True
68,68,2026-06-27,Fase de grupos,Croácia,Gana,2,1,2-1,,,Croácia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760480,760480,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-27,Croácia,Gana,False,True
69,69,2026-06-27,Fase de grupos,Argélia,Áustria,3,3,3-3,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760484,760484,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-27,Argélia,Áustria,False,True
70,70,2026-06-27,Fase de grupos,Jordânia,Argentina,1,3,1-3,,,Argentina,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760483,760483,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-27,Jordânia,Argentina,False,True
71,71,2026-06-27,Fase de grupos,Colômbia,Portugal,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760481,760481,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-27,Colômbia,Portugal,False,True
72,72,2026-06-27,Fase de grupos,RD Congo,Uzbequistão,3,1,3-1,,,RD Congo,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760482,760482,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-27,RD Congo,Uzbequistão,False,True
73,73,2026-06-28,16 avos de final,África do Sul,Canadá,0,1,0-1,,,Canadá,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486,760486,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-28,África do Sul,Canadá,False,True
74,74,2026-06-29,16 avos de final,Alemanha,Paraguai,1,1,1-1,,,Paraguai,Finalizado,PENALTIES,3-4,Paraguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,760489,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-29,Alemanha,Paraguai,False,True
75,75,2026-06-29,16 avos de final,Países Baixos,Marrocos,1,1,1-1,,,Marrocos,Finalizado,PENALTIES,2-3,Marrocos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,760488,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-29,Países Baixos,Marrocos,False,True
76,76,2026-06-29,16 avos de final,Brasil,Japão,2,1,2-1,,,Brasil,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760487,760487,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-29,Brasil,Japão,False,True
77,77,2026-06-30,16 avos de final,França,Suécia,3,0,3-0,,,França,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760492,760492,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-30,França,Suécia,False,True
78,78,2026-06-30,16 avos de final,Costa do Marfim,Noruega,1,2,1-2,,,Noruega,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760490,760490,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-30,Costa do Marfim,Noruega,False,True
79,79,2026-06-30,16 avos de final,México,Equador,2,0,2-0,,,México,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760491,760491,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-30,México,Equador,False,True
80,80,2026-07-01,16 avos de final,Inglaterra,RD Congo,2,1,2-1,,,Inglaterra,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760495,760495,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-01,Inglaterra,RD Congo,False,True
81,81,2026-07-01,16 avos de final,Estados Unidos,Bósnia e Herzegovina,2,0,2-0,,,Estados Unidos,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760494,760494,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-01,Estados Unidos,Bósnia e Herzegovina,False,True
82,82,2026-07-01,16 avos de final,Bélgica,Senegal,3,2,3-2,,,Bélgica,Finalizado,EXTRA_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760493,760493,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-01,Bélgica,Senegal,False,True
83,83,2026-07-02,16 avos de final,Portugal,Croácia,2,1,2-1,,,Portugal,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760496,760496,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-02,Portugal,Croácia,False,True
84,84,2026-07-02,16 avos de final,Espanha,Áustria,3,0,3-0,,,Espanha,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760497,760497,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-02,Espanha,Áustria,False,True
85,85,2026-07-02,16 avos de final,Suíça,Argélia,2,0,2-0,,,Suíça,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760498,760498,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-02,Suíça,Argélia,False,True
86,86,2026-07-03,16 avos de final,Argentina,Cabo Verde,3,2,3-2,,,Argentina,Finalizado,EXTRA_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760500,760500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-03,Argentina,Cabo Verde,False,True
87,87,2026-07-03,16 avos de final,Colômbia,Gana,1,0,1-0,,,Colômbia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760501,760501,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-03,Colômbia,Gana,False,True
88,88,2026-07-03,16 avos de final,Austrália,Egito,1,1,1-1,,,Egito,Finalizado,PENALTIES,2-4,Egito,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,760499,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-03,Austrália,Egito,False,True
89,90,2026-07-04,Oitavas de final,Paraguai,França,0,1,0-1,,,França,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760503,760503,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-04,Paraguai,França,False,True
90,89,2026-07-04,Oitavas de final,Canadá,Marrocos,0,3,0-3,,,Marrocos,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760502,760502,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-04,Canadá,Marrocos,False,True
91,91,2026-07-05,Oitavas de final,Brasil,Noruega,1,2,1-2,,,Noruega,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760504,760504,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-05,Brasil,Noruega,False,True
92,92,2026-07-05,Oitavas de final,México,Inglaterra,2,3,2-3,,,Inglaterra,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760505,760505,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-05,México,Inglaterra,False,True
93,93,2026-07-06,Oitavas de final,Portugal,Espanha,0,1,0-1,,,Espanha,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760506,760506,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-07-06,Portugal,Espanha,False,True
