jogo,data,diaSemana,horaET,horaLocal,fase,ordemFase,grupo,rodadaGrupo,equipe1,equipe2,confronto,estadio,cidade,pais,status,gols1_real,gols2_real,placar_real,gols1_90,gols2_90,vencedor_real,status_real,decision_method,placar_penaltis_real,vencedor_penaltis_real,espn_event_id,collected_at,source_sha256,validation_status,confidence,review_required,fonte,source_secondary,canonical_result_agrees,has_events,has_commentary,has_team_stats,has_player_data,has_officials,has_penalty_kicks
41,2026-06-22,Segunda-feira,20:00,20:00,Fase de grupos,1,I,2.0,Noruega,Senegal,Noruega x Senegal,MetLife Stadium,New York/New Jersey,Estados Unidos,Finalizado,3,2,3-2,,,Noruega,Finalizado,REGULAR_TIME,,,760454,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760454,True,True,True,True,True,True,False
42,2026-06-22,Segunda-feira,17:00,17:00,Fase de grupos,1,I,2.0,França,Iraque,França x Iraque,Lincoln Financial Field,Philadelphia,Estados Unidos,Finalizado,3,0,3-0,,,França,Finalizado,REGULAR_TIME,,,760457,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760457,True,True,True,True,True,True,False
43,2026-06-22,Segunda-feira,13:00,12:00,Fase de grupos,1,J,2.0,Argentina,Áustria,Argentina x Áustria,AT&T Stadium,Dallas,Estados Unidos,Finalizado,2,0,2-0,,,Argentina,Finalizado,REGULAR_TIME,,,760456,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760456,True,True,True,True,True,True,False
44,2026-06-22,Segunda-feira,23:00,20:00,Fase de grupos,1,J,2.0,Jordânia,Argélia,Jordânia x Argélia,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Finalizado,1,2,1-2,,,Argélia,Finalizado,REGULAR_TIME,,,760455,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760455,True,True,True,True,True,True,False
45,2026-06-23,Terça-feira,16:00,16:00,Fase de grupos,1,L,2.0,Inglaterra,Gana,Inglaterra x Gana,Gillette Stadium,Boston,Estados Unidos,Finalizado,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,760458,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760458,True,True,True,True,True,True,False
46,2026-06-23,Terça-feira,19:00,19:00,Fase de grupos,1,L,2.0,Panamá,Croácia,Panamá x Croácia,BMO Field,Toronto,Canadá,Finalizado,0,1,0-1,,,Croácia,Finalizado,REGULAR_TIME,,,760460,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760460,True,True,True,True,True,True,False
47,2026-06-23,Terça-feira,13:00,12:00,Fase de grupos,1,K,2.0,Portugal,Uzbequistão,Portugal x Uzbequistão,NRG Stadium,Houston,Estados Unidos,Finalizado,5,0,5-0,,,Portugal,Finalizado,REGULAR_TIME,,,760461,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760461,True,True,True,True,True,True,False
48,2026-06-23,Terça-feira,22:00,20:00,Fase de grupos,1,K,2.0,Colômbia,RD Congo,Colômbia x RD Congo,Estadio Akron,Guadalajara,México,Finalizado,1,0,1-0,,,Colômbia,Finalizado,REGULAR_TIME,,,760459,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760459,True,True,True,True,True,True,False
49,2026-06-24,Quarta-feira,18:00,18:00,Fase de grupos,1,C,3.0,Escócia,Brasil,Escócia x Brasil,Hard Rock Stadium,Miami,Estados Unidos,Finalizado,0,3,0-3,,,Brasil,Finalizado,REGULAR_TIME,,,760465,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760465,True,True,True,True,True,True,False
50,2026-06-24,Quarta-feira,18:00,18:00,Fase de grupos,1,C,3.0,Marrocos,Haiti,Marrocos x Haiti,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Finalizado,4,2,4-2,,,Marrocos,Finalizado,REGULAR_TIME,,,760464,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760464,True,True,True,True,True,True,False
51,2026-06-24,Quarta-feira,15:00,12:00,Fase de grupos,1,B,3.0,Suíça,Canadá,Suíça x Canadá,BC Place,Vancouver,Canadá,Finalizado,2,1,2-1,,,Suíça,Finalizado,REGULAR_TIME,,,760463,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760463,True,True,True,True,True,True,False
52,2026-06-24,Quarta-feira,15:00,12:00,Fase de grupos,1,B,3.0,Bósnia e Herzegovina,Catar,Bósnia e Herzegovina x Catar,Lumen Field,Seattle,Estados Unidos,Finalizado,3,1,3-1,,,Bósnia e Herzegovina,Finalizado,REGULAR_TIME,,,760462,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760462,True,True,True,True,True,True,False
53,2026-06-24,Quarta-feira,21:00,19:00,Fase de grupos,1,A,3.0,Tchéquia,México,Tchéquia x México,Estadio Azteca,Mexico City,México,Finalizado,0,3,0-3,,,México,Finalizado,REGULAR_TIME,,,760467,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760467,True,True,True,True,True,True,False
54,2026-06-24,Quarta-feira,21:00,19:00,Fase de grupos,1,A,3.0,África do Sul,Coreia do Sul,África do Sul x Coreia do Sul,Estadio BBVA,Monterrey,México,Finalizado,1,0,1-0,,,África do Sul,Finalizado,REGULAR_TIME,,,760466,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760466,True,True,True,True,True,True,False
55,2026-06-25,Quinta-feira,16:00,16:00,Fase de grupos,1,E,3.0,Curaçao,Costa do Marfim,Curaçao x Costa do Marfim,Lincoln Financial Field,Philadelphia,Estados Unidos,Finalizado,0,2,0-2,,,Costa do Marfim,Finalizado,REGULAR_TIME,,,760473,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760473,True,True,True,True,True,True,False
56,2026-06-25,Quinta-feira,16:00,16:00,Fase de grupos,1,E,3.0,Equador,Alemanha,Equador x Alemanha,MetLife Stadium,New York/New Jersey,Estados Unidos,Finalizado,2,1,2-1,,,Equador,Finalizado,REGULAR_TIME,,,760468,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760468,True,True,True,True,True,True,False
57,2026-06-25,Quinta-feira,19:00,18:00,Fase de grupos,1,F,3.0,Japão,Suécia,Japão x Suécia,AT&T Stadium,Dallas,Estados Unidos,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760471,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760471,True,True,True,True,True,True,False
58,2026-06-25,Quinta-feira,19:00,18:00,Fase de grupos,1,F,3.0,Tunísia,Países Baixos,Tunísia x Países Baixos,Arrowhead Stadium,Kansas City,Estados Unidos,Finalizado,1,3,1-3,,,Países Baixos,Finalizado,REGULAR_TIME,,,760472,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760472,True,True,True,True,True,True,False
59,2026-06-25,Quinta-feira,22:00,19:00,Fase de grupos,1,D,3.0,Turquia,Estados Unidos,Turquia x Estados Unidos,SoFi Stadium,Los Angeles,Estados Unidos,Finalizado,3,2,3-2,,,Turquia,Finalizado,REGULAR_TIME,,,760470,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760470,True,True,True,True,True,True,False
60,2026-06-25,Quinta-feira,22:00,19:00,Fase de grupos,1,D,3.0,Paraguai,Austrália,Paraguai x Austrália,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Finalizado,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,760469,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760469,True,True,True,True,True,True,False
61,2026-06-26,Sexta-feira,15:00,15:00,Fase de grupos,1,I,3.0,Noruega,França,Noruega x França,Gillette Stadium,Boston,Estados Unidos,Finalizado,1,4,1-4,,,França,Finalizado,REGULAR_TIME,,,760475,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760475,True,True,True,True,True,True,False
62,2026-06-26,Sexta-feira,15:00,15:00,Fase de grupos,1,I,3.0,Senegal,Iraque,Senegal x Iraque,BMO Field,Toronto,Canadá,Finalizado,5,0,5-0,,,Senegal,Finalizado,REGULAR_TIME,,,760474,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760474,True,True,True,True,True,True,False
63,2026-06-26,Sexta-feira,23:00,20:00,Fase de grupos,1,G,3.0,Egito,Irã,Egito x Irã,Lumen Field,Seattle,Estados Unidos,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760476,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760476,True,True,True,True,True,True,False
64,2026-06-26,Sexta-feira,23:00,20:00,Fase de grupos,1,G,3.0,Nova Zelândia,Bélgica,Nova Zelândia x Bélgica,BC Place,Vancouver,Canadá,Finalizado,1,5,1-5,,,Bélgica,Finalizado,REGULAR_TIME,,,760477,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760477,True,True,True,True,True,True,False
65,2026-06-26,Sexta-feira,20:00,19:00,Fase de grupos,1,H,3.0,Cabo Verde,Arábia Saudita,Cabo Verde x Arábia Saudita,NRG Stadium,Houston,Estados Unidos,Finalizado,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,760478,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478,True,True,True,True,True,True,False
66,2026-06-26,Sexta-feira,20:00,18:00,Fase de grupos,1,H,3.0,Uruguai,Espanha,Uruguai x Espanha,Estadio Akron,Guadalajara,México,Finalizado,0,1,0-1,,,Espanha,Finalizado,REGULAR_TIME,,,760479,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760479,True,True,True,True,True,True,False
67,2026-06-27,Sábado,17:00,17:00,Fase de grupos,1,L,3.0,Panamá,Inglaterra,Panamá x Inglaterra,MetLife Stadium,New York/New Jersey,Estados Unidos,Finalizado,0,2,0-2,,,Inglaterra,Finalizado,REGULAR_TIME,,,760485,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760485,True,True,True,True,True,True,False
68,2026-06-27,Sábado,17:00,17:00,Fase de grupos,1,L,3.0,Croácia,Gana,Croácia x Gana,Lincoln Financial Field,Philadelphia,Estados Unidos,Finalizado,2,1,2-1,,,Croácia,Finalizado,REGULAR_TIME,,,760480,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760480,True,True,True,True,True,True,False
69,2026-06-27,Sábado,22:00,21:00,Fase de grupos,1,J,3.0,Argélia,Áustria,Argélia x Áustria,Arrowhead Stadium,Kansas City,Estados Unidos,Finalizado,3,3,3-3,,,Empate,Finalizado,REGULAR_TIME,,,760484,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760484,True,True,True,True,True,True,False
70,2026-06-27,Sábado,22:00,21:00,Fase de grupos,1,J,3.0,Jordânia,Argentina,Jordânia x Argentina,AT&T Stadium,Dallas,Estados Unidos,Finalizado,1,3,1-3,,,Argentina,Finalizado,REGULAR_TIME,,,760483,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760483,True,True,True,True,True,True,False
71,2026-06-27,Sábado,19:30,19:30,Fase de grupos,1,K,3.0,Colômbia,Portugal,Colômbia x Portugal,Hard Rock Stadium,Miami,Estados Unidos,Finalizado,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,760481,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760481,True,True,True,True,True,True,False
72,2026-06-27,Sábado,19:30,19:30,Fase de grupos,1,K,3.0,RD Congo,Uzbequistão,RD Congo x Uzbequistão,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Finalizado,3,1,3-1,,,RD Congo,Finalizado,REGULAR_TIME,,,760482,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760482,True,True,True,True,True,True,False
73,2026-06-28,Domingo,15:00,12:00,16 avos de final,2,,0.0,África do Sul,Canadá,África do Sul x Canadá,SoFi Stadium,Los Angeles,Estados Unidos,Finalizado,0,1,0-1,,,Canadá,Finalizado,REGULAR_TIME,,,760486,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486,True,True,True,True,True,True,False
74,2026-06-29,Segunda-feira,16:30,16:30,16 avos de final,2,,0.0,Alemanha,Paraguai,Alemanha x Paraguai,Gillette Stadium,Boston,Estados Unidos,Finalizado,1,1,1-1,,,Paraguai,Finalizado,PENALTIES,3-4,Paraguai,760489,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,True,True,True,True,True,True,True
75,2026-06-29,Segunda-feira,21:00,19:00,16 avos de final,2,,0.0,Países Baixos,Marrocos,Países Baixos x Marrocos,Estadio BBVA,Monterrey,México,Finalizado,1,1,1-1,,,Marrocos,Finalizado,PENALTIES,2-3,Marrocos,760488,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,True,True,True,True,True,True,True
76,2026-06-29,Segunda-feira,13:00,12:00,16 avos de final,2,,0.0,Brasil,Japão,Brasil x Japão,NRG Stadium,Houston,Estados Unidos,Finalizado,2,1,2-1,,,Brasil,Finalizado,REGULAR_TIME,,,760487,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760487,True,True,True,True,True,True,False
77,2026-06-30,Terça-feira,17:00,17:00,16 avos de final,2,,0.0,França,Suécia,França x Suécia,MetLife Stadium,New York/New Jersey,Estados Unidos,Finalizado,3,0,3-0,,,França,Finalizado,REGULAR_TIME,,,760492,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760492,True,True,True,True,True,True,False
78,2026-06-30,Terça-feira,13:00,12:00,16 avos de final,2,,0.0,Costa do Marfim,Noruega,Costa do Marfim x Noruega,AT&T Stadium,Dallas,Estados Unidos,Finalizado,1,2,1-2,,,Noruega,Finalizado,REGULAR_TIME,,,760490,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760490,True,True,True,True,True,True,False
79,2026-06-30,Terça-feira,21:00,19:00,16 avos de final,2,,0.0,México,Equador,México x Equador,Estadio Azteca,Mexico City,México,Finalizado,2,0,2-0,,,México,Finalizado,REGULAR_TIME,,,760491,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760491,True,True,True,True,True,True,False
80,2026-07-01,Quarta-feira,12:00,12:00,16 avos de final,2,,0.0,Inglaterra,RD Congo,Inglaterra x RD Congo,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Finalizado,2,1,2-1,,,Inglaterra,Finalizado,REGULAR_TIME,,,760495,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760495,True,True,True,True,True,True,False
81,2026-07-01,Quarta-feira,20:00,17:00,16 avos de final,2,,0.0,Estados Unidos,Bósnia e Herzegovina,Estados Unidos x Bósnia e Herzegovina,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Finalizado,2,0,2-0,,,Estados Unidos,Finalizado,REGULAR_TIME,,,760494,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760494,True,True,True,True,True,True,False
