jogo,data,fase,grupo,equipe1,equipe2,placar_previsto,placar_real,vencedor_previsto,vencedor_real,acertou_vencedor,acertou_placar_exato,erro_total_gols,erro_xg_total,erro_saldo,proximidade_0_100,impacto_desempenho_equipe1,impacto_desempenho_equipe2,peso_resultado_anterior_aplicado_equipe1,peso_resultado_anterior_aplicado_equipe2,ajuste_rating_equipe1,ajuste_rating_equipe2,ajuste_relativo_rating,ajuste_ofensivo_equipe1,ajuste_ofensivo_equipe2,ajuste_defensivo_equipe1,ajuste_defensivo_equipe2,peso_adversario_ofensivo_equipe1,peso_adversario_ofensivo_equipe2,peso_gol_sofrido_equipe1,peso_gol_sofrido_equipe2,qualidade_adversario_equipe1,qualidade_adversario_equipe2,rating_pos_jogo_equipe1,rating_pos_jogo_equipe2,fonte_resultado
61,2026-06-26,Fase de grupos,I,Noruega,França,1-2,1-4 (pên. nan),França,França,Sim,Não,2.0,2.894,2.0,48.0,0.413,0.825,0.268,1.371,-0.602,0.734,-1.336,-0.091,2.0,-2.0,0.336,1.125,1.11,0.889,0.901,1.125,1.11,71.429,72.269,https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676 | https://www.reuters.com/sports/soccer/dembele-hat-trick-helps-france-beat-second-string-norway-4-1-top-group-2026-06-26/
62,2026-06-26,Fase de grupos,I,Senegal,Iraque,2-1,5-0 (pên. nan),Senegal,Senegal,Sim,Não,4.0,4.409,4.0,0.0,0.125,-0.825,0.33,-0.728,0.775,-0.862,1.636,2.0,-1.377,0.895,-2.0,0.937,1.119,1.067,0.893,0.937,1.119,71.861,58.464,https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026 | https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/
63,2026-06-26,Fase de grupos,G,Egito,Irã,2-1,1-1 (pên. nan),Egito,Empate,Não,Não,1.0,0.224,1.0,52.0,0.255,-0.06,0.381,-0.033,-0.08,-0.006,-0.073,-0.148,-0.051,0.049,0.21,0.995,0.995,1.005,1.005,0.995,0.995,63.121,64.044,https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest | https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/
64,2026-06-26,Fase de grupos,G,Nova Zelândia,Bélgica,0-1,1-5 (pên. nan),Bélgica,Bélgica,Sim,Não,5.0,3.684,3.0,0.0,-0.527,0.403,-0.611,0.653,-0.521,0.567,-1.088,0.169,2.0,-2.0,-0.115,1.162,0.999,0.861,1.001,1.162,0.999,63.921,75.281,https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
65,2026-06-26,Fase de grupos,H,Cabo Verde,Arábia Saudita,2-1,0-0 (pên. nan),Cabo Verde,Empate,Não,Não,3.0,2.31,1.0,24.0,-0.128,-0.441,-0.055,-0.269,-0.117,-0.07,-0.047,-1.373,-1.225,1.162,1.143,1.026,0.976,0.974,1.025,1.026,0.976,63.899,63.944,https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
66,2026-06-26,Fase de grupos,H,Uruguai,Espanha,0-1,0-1 (pên. nan),Espanha,Espanha,Sim,Sim,0.0,1.375,0.0,100.0,-0.201,0.586,-0.405,1.11,-0.276,0.348,-0.624,-1.111,-0.437,0.516,1.131,1.184,1.08,0.844,0.926,1.184,1.08,70.644,75.128,https://english.ahram.org.eg/WorldCup2026/Article/571662 | https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live
67,2026-06-27,Fase de grupos,L,Panamá,Inglaterra,0-1,0-2 (pên. nan),Inglaterra,Inglaterra,Sim,Não,1.0,1.525,1.0,74.0,-0.658,0.596,-0.76,0.924,-0.535,0.582,-1.117,-1.196,0.846,-0.601,0.989,1.152,1.086,0.868,0.921,1.152,1.086,68.983,74.086,https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/
68,2026-06-27,Fase de grupos,L,Croácia,Gana,1-0,2-1 (pên. nan),Croácia,Croácia,Sim,Não,2.0,0.849,0.0,72.0,0.227,-0.052,0.984,-0.132,0.345,-0.307,0.652,0.766,-0.051,-0.135,-0.628,0.997,1.132,1.003,0.883,0.997,1.132,73.815,64.215,https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
69,2026-06-27,Fase de grupos,J,Argélia,Áustria,1-2,3-3 (pên. nan),Áustria,Empate,Não,Não,3.0,3.666,1.0,24.0,-0.016,0.064,0.25,-0.003,0.001,-0.017,0.018,2.0,2.0,-1.762,-1.807,1.112,1.092,0.899,0.916,1.112,1.092,69.129,72.567,https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
70,2026-06-27,Fase de grupos,J,Jordânia,Argentina,0-1,1-3 (pên. nan),Argentina,Argentina,Sim,Não,3.0,1.636,1.0,46.0,-0.63,0.825,-0.693,1.303,-0.165,0.241,-0.406,0.624,1.157,-1.048,-0.528,1.202,0.95,0.832,1.053,1.202,0.95,60.272,77.736,https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
71,2026-06-27,Fase de grupos,K,Colômbia,Portugal,1-2,0-0 (pên. nan),Portugal,Empate,Não,Não,3.0,2.269,1.0,24.0,0.464,0.37,0.645,0.358,0.021,-0.046,0.067,-1.307,-1.286,1.534,1.308,1.207,1.123,0.829,0.891,1.207,1.123,73.27,76.302,https://www.reuters.com/sports/soccer/colombia-portugal-advance-after-no-bore-draw-miami-2026-06-28/ | https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html
72,2026-06-27,Fase de grupos,K,RD Congo,Uzbequistão,1-0,3-1 (pên. nan),RD Congo,RD Congo,Sim,Não,3.0,1.642,1.0,46.0,0.058,-0.825,0.46,-0.731,0.444,-0.508,0.952,1.409,-0.014,-0.114,-1.655,0.949,1.035,1.054,0.966,0.949,1.035,67.374,59.431,https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/ | https://www.theguardian.com/football/live/2026/jun/27/dr-congo-v-uzbekistan-world-cup-2026-live
73,2026-06-28,16 avos de final,,África do Sul,Canadá,0-1,0-1 (pên. nan),Canadá,Canadá,Sim,Sim,0.0,1.248,0.0,100.0,-1.093,1.25,-0.054,0.752,-0.363,0.391,-0.755,-1.219,-0.289,0.352,1.067,1.148,0.975,0.871,1.025,1.148,0.975,60.494,72.757,https://www.reuters.com/sports/soccer/canada-score-late-winner-advance-last-16-world-cup-2026-06-28/
74,2026-06-29,16 avos de final,,Alemanha,Paraguai,1-0,1-1 (pên. 3-4),Alemanha,Paraguai,Não,Não,1.0,0.377,1.0,52.0,-0.193,0.468,0.074,0.547,-0.179,0.243,-0.422,-0.177,0.223,-0.2,0.204,0.984,1.131,1.016,0.884,0.984,1.131,74.365,64.882,https://www.theguardian.com/football/live/2026/jun/29/germany-v-paraguay-world-cup-2026-last-32-live | score-feed-worldcup-2026-06-29T23:36Z
75,2026-06-29,16 avos de final,,Países Baixos,Marrocos,2-1,1-1 (pên. 2-3),Países Baixos,Marrocos,Não,Não,1.0,0.268,1.0,52.0,0.0,0.0,0.579,1.007,-0.116,0.163,-0.279,-0.248,-0.041,0.037,0.273,1.063,1.173,0.941,0.853,1.063,1.173,75.06,70.257,https://www.reuters.com/sports/soccer/morocco-advance-world-cup-after-penalty-shootout-win-over-netherlands-2026-06-30/ | https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
76,2026-06-29,16 avos de final,,Brasil,Japão,1-0,2-1 (pên. nan),Brasil,Brasil,Sim,Não,2.0,0.775,0.0,72.0,1.148,-0.873,1.385,-0.209,0.407,-0.314,0.721,0.836,-0.006,0.046,-0.67,1.118,1.169,0.894,0.855,1.118,1.169,75.296,72.272,https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/news/brazil-2-1-japan-casemiro-leads-late-turnaround | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
