jogo,data,fase,grupo,rodadaGrupo,equipe1,equipe2,xg1_modelo,xg2_modelo,placar_previsto,gols1_previsto,gols2_previsto,vencedor_previsto,prob_vitoria_equipe1,prob_empate,prob_vitoria_equipe2,prob_classificacao_equipe1,prob_classificacao_equipe2,prob_penaltis_equipe1_modelo,vencedor_classificacao_previsto,confianca_modelo,peso_rede_neural,validacoes_anteriores_usadas,interacoes_monte_carlo,feature_rating_diff,feature_base_rating_diff,feature_attack_vs_defense,feature_defense_vs_attack,feature_midfield_diff,feature_goalkeeper_diff,feature_experience_diff,feature_league_diff,feature_player_quality_diff,feature_intensity_diff,feature_possession_diff,feature_pressing_diff,feature_momentum_diff,feature_performance_memory_diff,feature_offensive_form_diff,feature_defensive_form_diff,feature_offensive_form_equipe1,feature_offensive_form_equipe2,feature_defensive_form_equipe1,feature_defensive_form_equipe2,feature_schedule_strength_diff,feature_opponent_adjusted_points_diff,feature_goals_for_rate_diff,feature_goals_against_rate_diff,feature_opponent_weighted_goals_for_diff,feature_opponent_weighted_goals_against_diff,feature_weighted_goals_for_rate_diff,feature_adjusted_goals_against_rate_diff,feature_weighted_goals_for_rate_equipe1,feature_weighted_goals_for_rate_equipe2,feature_adjusted_goals_against_rate_equipe1,feature_adjusted_goals_against_rate_equipe2,feature_rest_diff,feature_host_diff,feature_knockout,feature_round_group,placar_regular_previsto,decisao_penaltis,placar_penaltis,prob_penaltis_equipe1,vencedor_pos_penaltis,criterio_vencedor,status_previsao,fonte_previsao,usa_desempenho_copa,origem_confronto,precisa_recalculo,possui_real,placar_real,vencedor_real
40,2026-06-21,Fase de grupos,G,2.0,Nova Zelândia,Egito,0.987,1.389,0-1,0,1,Egito,0.2823,0.2676,0.4501,,,,,baixa,0.023,39,12000,2.2543,2.44,-0.21,0.4,0.56,-0.02,0.0,8.3636,2.9917,-1.8,-2.0,-2.0,-0.029,0.0,0.2182,-0.3932,0.2943,0.0761,-0.2942,0.099,-11.07,-0.1845,1.0,1.0,0.8225,1.1538,0.8225,1.1538,1.9889,1.1665,2.0111,0.8573,0.0,0.0,0.0,2.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-3,Egito
41,2026-06-22,Fase de grupos,I,2.0,Noruega,Senegal,1.378,1.251,2-1,2,1,Noruega,0.3903,0.262,0.3477,,,,,baixa,0.023,40,12000,0.1615,-0.98,-0.17,-0.08,-0.53,0.4,-0.51,0.9091,0.0361,-1.2,0.0,-1.8,1.099,0.0,0.5889,0.429,0.56,-0.0289,-0.0608,-0.4899,-10.06,3.0155,3.0,-2.0,2.6813,-1.644,2.6813,-1.644,3.793,1.1117,1.0546,2.6985,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-2,Noruega
42,2026-06-22,Fase de grupos,I,2.0,França,Iraque,1.884,0.757,1-0,1,0,França,0.6503,0.2088,0.1409,,,,,alta,0.023,41,12000,11.2482,10.06,0.67,0.72,1.09,0.04,-0.08,25.0909,11.3344,1.2,1.0,0.0,1.0976,0.0,0.4966,0.5894,0.56,0.0634,0.0294,-0.56,0.98,3.5995,2.0,-3.0,2.2899,-2.7556,2.2899,-2.7556,3.3885,1.0986,0.8854,3.641,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-0,França
43,2026-06-22,Fase de grupos,J,2.0,Argentina,Áustria,1.551,0.832,1-0,1,0,Argentina,0.5366,0.2664,0.197,,,,,média,0.024,42,12000,4.0476,3.72,0.06,0.93,0.7,0.63,0.48,3.0909,3.66,-2.2,3.0,-3.0,0.0098,0.0,0.0803,0.3423,0.56,0.4797,0.2724,-0.0699,8.45,0.4225,0.0,-1.0,0.4182,-1.0447,0.4182,-1.0447,3.2898,2.8716,0.0,1.0447,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-0,Argentina
44,2026-06-22,Fase de grupos,J,2.0,Jordânia,Argélia,0.976,1.487,0-1,0,1,Argélia,0.2516,0.2474,0.501,,,,,média,0.024,43,12000,-8.1666,-8.45,-1.26,-0.36,-0.9,0.7,0.68,-27.4545,-8.0639,3.0,-2.0,-1.0,0.0103,0.0,0.3693,-0.0085,0.0744,-0.2949,-0.451,-0.4424,-3.72,0.0,1.0,0.0,1.1114,0.1726,1.1114,0.1726,1.1114,0.0,2.6993,2.5267,0.0,0.0,0.0,2.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-2,Argélia
45,2026-06-23,Fase de grupos,L,2.0,Inglaterra,Gana,1.523,0.984,1-0,1,0,Inglaterra,0.498,0.2679,0.2341,,,,,média,0.024,44,12000,9.3379,9.47,0.98,0.5,0.66,1.57,0.82,2.6364,11.4856,1.2,4.0,2.8,-0.0228,0.0,0.4855,-0.6038,0.56,0.0745,-0.2311,0.3727,3.13,0.1565,3.0,2.0,3.4355,1.7656,3.4355,1.7656,4.531,1.0955,1.7656,0.0,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-0,Empate
46,2026-06-23,Fase de grupos,L,2.0,Panamá,Croácia,1.005,1.352,1-2,1,2,Croácia,0.2758,0.2692,0.455,,,,,baixa,0.025,45,12000,-3.2831,-3.13,-0.62,0.96,0.5,-0.24,0.63,-21.2727,-3.0528,3.0,-5.0,-2.0,-0.0233,0.0,-0.6371,0.4911,-0.3361,0.3009,-0.0689,-0.56,-9.47,0.0,-2.0,-3.0,-2.2989,-2.4678,-2.2989,-2.4678,0.0,2.2989,1.0121,3.4799,0.0,0.0,0.0,2.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-1,Croácia
47,2026-06-23,Fase de grupos,K,2.0,Portugal,Uzbequistão,1.638,0.847,1-0,1,0,Portugal,0.5703,0.2342,0.1955,,,,,média,0.025,46,12000,14.9396,14.75,1.21,1.33,1.44,0.76,0.42,31.0,14.1911,3.0,4.0,2.8,0.3158,0.0,-0.1635,0.3803,-0.0748,0.0888,-0.0604,-0.4407,-5.11,1.1205,0.0,-2.0,-0.0736,-1.734,-0.0736,-1.734,1.0389,1.1125,0.9626,2.6966,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,5-0,Portugal
48,2026-06-23,Fase de grupos,K,2.0,Colômbia,RD Congo,1.131,1.1,1-2,1,2,RD Congo,0.3504,0.2828,0.3668,,,,,baixa,0.025,47,12000,5.4538,5.11,-0.27,1.24,0.81,1.2,0.6,-2.4545,5.6617,0.0,2.8,1.8,0.6889,0.0,0.3961,-0.1694,0.4714,0.0753,-0.083,0.0864,-14.75,1.7898,2.0,0.0,1.6837,0.2073,1.6837,0.2073,2.8845,1.2008,1.04,0.8328,0.0,0.0,0.0,2.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-0,Colômbia
49,2026-06-24,Fase de grupos,C,3.0,Escócia,Brasil,0.962,1.204,0-1,0,1,Brasil,0.2803,0.2809,0.4388,,,,,baixa,0.025,48,12000,0.063,0.86,-0.27,0.41,0.75,0.03,0.13,0.9091,-0.3356,0.0,-4.0,-2.2,-0.6904,0.0,-0.8321,-0.126,-0.3732,0.459,0.124,0.25,0.1688,-1.1382,-1.5,0.0,-3.0811,-0.0005,-1.5406,-0.0002,0.5097,2.0503,0.475,0.4753,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-3,Brasil
50,2026-06-24,Fase de grupos,C,3.0,Marrocos,Haiti,1.445,0.713,1-0,1,0,Marrocos,0.5643,0.2581,0.1777,,,,,média,0.026,49,12000,5.9049,4.31,-0.42,0.29,1.45,-0.47,0.24,6.7273,4.1756,0.0,2.0,2.0,1.3321,0.0,0.5292,0.7759,0.0555,-0.4737,0.3991,-0.3768,0.2303,4.9509,1.0,-1.5,2.298,-2.6149,1.149,-1.3075,1.149,0.0,0.4339,1.7414,0.0,0.0,0.0,3.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,4-2,Marrocos
51,2026-06-24,Fase de grupos,B,3.0,Suíça,Canadá,1.276,1.263,1-2,1,2,Canadá,0.3602,0.2567,0.3831,,,,,baixa,0.026,50,12000,2.9995,3.33,0.3,0.18,0.07,-0.17,0.36,0.7273,6.9317,-2.2,0.0,-3.0,-0.0292,0.0,0.0078,-0.4146,0.5193,0.5115,-0.0515,0.363,0.0352,-0.1745,-1.0,0.5,-2.5366,0.9237,-1.2683,0.4619,2.4533,3.7216,0.9854,0.5235,0.0,0.0,0.0,3.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-1,Suíça
52,2026-06-24,Fase de grupos,B,3.0,Bósnia e Herzegovina,Catar,1.155,1.36,1-2,1,2,Catar,0.3154,0.2631,0.4215,,,,,baixa,0.026,51,12000,-4.8498,-5.34,-1.03,-0.41,-1.28,-1.0,-2.07,22.6364,-7.2272,0.0,-4.0,-2.0,0.0466,0.0,0.4949,0.0136,0.0871,-0.4077,-0.5019,-0.5156,0.0329,-0.0555,0.5,-1.0,1.141,-1.8368,0.5705,-0.9184,1.1598,0.5893,2.1369,3.0553,0.0,0.0,0.0,3.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-1,Bósnia e Herzegovina
53,2026-06-24,Fase de grupos,A,3.0,Tchéquia,México,0.571,1.458,0-1,0,1,México,0.1366,0.2596,0.6037,,,,,alta,0.026,52,12000,-5.9474,-4.51,-1.62,0.33,-0.04,-0.83,-1.12,2.7273,-4.4772,0.0,-1.0,-1.8,-1.3943,0.0,-0.2028,-0.5951,-0.1034,0.0994,-0.1409,0.4542,-0.4284,-5.5886,-0.5,1.5,-0.9822,2.8531,-0.4911,1.4265,1.0334,1.5245,1.4265,0.0,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-3,México
54,2026-06-24,Fase de grupos,A,3.0,África do Sul,Coreia do Sul,0.906,1.47,0-1,0,1,Coreia do Sul,0.2314,0.2522,0.5164,,,,,média,0.027,53,12000,-10.5916,-10.2,0.0,-0.7,-0.07,-0.87,-1.28,-16.5455,-12.5911,0.0,-1.0,-1.8,-0.2398,0.0,-0.0042,-0.0437,-0.1552,-0.151,-0.012,0.0317,-0.4109,-2.217,-0.5,0.5,-1.0462,0.9219,-0.5231,0.461,0.519,1.0421,1.3955,0.9345,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-0,África do Sul
55,2026-06-25,Fase de grupos,E,3.0,Curaçao,Costa do Marfim,0.914,1.475,0-1,0,1,Costa do Marfim,0.2368,0.2496,0.5137,,,,,média,0.027,54,12000,-4.729,-4.09,-0.51,-0.33,0.18,0.53,-0.27,-7.0909,-5.0883,-3.0,-2.0,-3.8,-0.2692,0.0,-0.2683,-0.0018,-0.2706,-0.0023,-0.022,-0.0201,-0.4723,-2.2363,-0.5,2.5,-1.0343,4.4456,-0.5171,2.2228,0.5636,1.0807,3.1051,0.8823,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-2,Costa do Marfim
56,2026-06-25,Fase de grupos,E,3.0,Equador,Alemanha,0.592,1.464,0-1,0,1,Alemanha,0.1426,0.2556,0.6018,,,,,alta,0.027,55,12000,-8.728,-7.31,-1.39,0.74,-1.24,-1.47,-0.2,-6.5455,-7.8644,1.0,-1.2,0.0,-1.3698,0.0,-1.1364,0.3562,-0.5261,0.6103,0.3147,-0.0415,-0.4657,-5.6178,-4.5,-0.5,-9.2279,-0.985,-4.6139,-0.4925,0.0,4.6139,0.4668,0.9593,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-1,Equador
57,2026-06-25,Fase de grupos,F,3.0,Japão,Suécia,1.675,1.043,2-1,2,1,Japão,0.5368,0.2323,0.2309,,,,,média,0.028,56,12000,6.6921,5.97,0.42,0.44,1.83,0.03,0.92,-3.7273,6.0611,3.0,0.0,1.8,0.6214,0.0,0.4371,0.6313,0.8005,0.3634,0.0521,-0.5792,-0.2386,1.2123,0.0,-2.0,0.1962,-3.6409,0.0981,-1.8204,3.038,2.9399,0.8591,2.6795,0.0,0.0,0.0,3.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
58,2026-06-25,Fase de grupos,F,3.0,Tunísia,Países Baixos,0.54,2.009,0-2,0,2,Países Baixos,0.0846,0.1807,0.7348,,,,,alta,0.028,57,12000,-13.9224,-12.18,-2.1,-0.78,-0.73,-0.83,-0.82,-8.1818,-14.9317,0.0,-5.0,-2.8,-1.2452,0.0,-0.9493,-0.7367,-0.2089,0.7404,-0.917,-0.1803,-0.2593,-4.5345,-3.0,3.0,-6.3753,5.6882,-3.1876,2.8441,0.5146,3.7023,4.2259,1.3818,0.0,0.0,0.0,3.0,0-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-3,Países Baixos
59,2026-06-25,Fase de grupos,D,3.0,Turquia,Estados Unidos,0.623,1.6,0-1,0,1,Estados Unidos,0.1336,0.2336,0.6329,,,,,alta,0.028,58,12000,-4.5159,-2.2,-0.86,0.42,0.16,0.37,0.02,-3.7273,-3.39,0.0,0.0,-1.2,-1.7654,0.0,-1.1406,-0.4662,-0.5661,0.5746,-0.1974,0.2688,-0.6482,-6.6102,-3.0,1.0,-6.0402,1.9244,-3.0201,0.9622,0.0,3.0201,1.4702,0.508,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-2,Turquia
60,2026-06-25,Fase de grupos,D,3.0,Paraguai,Austrália,1.03,1.163,1-2,1,2,Austrália,0.341,0.2857,0.3734,,,,,baixa,0.028,59,12000,-2.326,-2.14,-0.68,0.41,0.45,-1.13,-0.13,-6.0,-1.3117,0.0,0.0,0.0,0.48,0.0,0.1782,-0.0641,0.0533,-0.1248,0.0212,0.0853,-0.6206,-0.0367,0.0,1.0,0.055,1.6758,0.0275,0.8379,1.1633,1.1358,1.6678,0.8299,0.0,0.0,0.0,3.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-0,Empate
61,2026-06-26,Fase de grupos,I,3.0,Noruega,França,1.251,1.357,1-2,1,2,França,0.3484,0.2721,0.3796,,,,,baixa,0.029,60,12000,0.5053,0.64,-0.22,-0.09,-0.19,0.5,0.01,0.6364,1.4028,-1.2,0.0,0.0,0.0384,0.0,0.2155,-0.4461,0.8796,0.6641,-0.2269,0.2192,-0.0352,-0.0035,0.5,1.0,0.9458,1.9504,0.4729,0.9752,3.5808,3.1079,1.4179,0.4427,0.0,0.0,0.0,3.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-4,França
62,2026-06-26,Fase de grupos,I,3.0,Senegal,Iraque,1.654,1.064,2-1,2,1,Senegal,0.494,0.2701,0.236,,,,,média,0.029,61,12000,11.7559,11.68,0.66,0.67,1.43,0.14,0.44,24.8182,12.7011,1.2,1.0,1.8,-0.0651,0.0,0.4081,-0.0856,0.2126,-0.1954,-0.7343,-0.6488,-0.0586,0.0,1.0,-0.5,2.223,-0.9074,1.1115,-0.4537,1.6608,0.5493,2.7068,3.1605,0.0,0.0,0.0,3.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,5-0,Senegal
63,2026-06-26,Fase de grupos,G,3.0,Egito,Irã,1.194,1.031,2-1,2,1,Egito,0.4116,0.2805,0.3078,,,,,baixa,0.029,62,12000,-0.8477,-1.49,-0.72,0.21,-1.0,-0.62,-0.75,14.2727,-2.9417,1.8,1.0,2.0,0.7238,0.0,0.6332,-0.1853,0.5034,-0.1298,0.0617,0.247,0.0855,2.1672,1.0,0.0,2.17,-0.1369,1.085,-0.0685,2.0902,1.0052,0.9263,0.9948,0.0,0.0,0.0,3.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Empate
64,2026-06-26,Fase de grupos,G,3.0,Nova Zelândia,Bélgica,0.827,1.488,0-1,0,1,Bélgica,0.1965,0.2606,0.5429,,,,,média,0.03,63,12000,-10.2741,-10.12,-0.99,-0.23,-1.29,-1.1,-0.58,-10.7273,-11.7156,0.0,-5.0,-2.0,-0.3162,0.0,0.63,-0.8833,0.1979,-0.4321,-0.6503,0.233,0.0923,-1.0415,1.0,2.0,1.9905,4.0318,0.9952,2.0159,1.489,0.4937,2.5222,0.5063,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-5,Bélgica
65,2026-06-26,Fase de grupos,H,3.0,Cabo Verde,Arábia Saudita,1.234,1.076,2-1,2,1,Cabo Verde,0.4172,0.2654,0.3174,,,,,baixa,0.03,64,12000,0.0035,-0.94,-0.82,-0.1,-0.02,-0.27,-0.25,11.5455,-2.0467,0.0,-1.0,-1.8,0.378,0.0,0.4773,0.5465,0.1327,-0.3446,0.0027,-0.5438,0.0491,1.2334,0.5,-1.5,1.0788,-2.4789,0.5394,-1.2394,1.08,0.5406,0.9259,2.1653,0.0,0.0,0.0,3.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-0,Empate
66,2026-06-26,Fase de grupos,H,3.0,Uruguai,Espanha,0.921,1.455,0-1,0,1,Espanha,0.239,0.2538,0.5072,,,,,média,0.03,65,12000,-3.862,-3.04,-0.19,-0.1,-0.89,-0.17,0.48,-4.9091,-4.1656,1.0,-4.0,0.0,-0.7276,0.0,-0.0482,-0.7784,0.2786,0.3267,-0.3108,0.4675,0.0559,-2.1607,-0.5,1.5,-1.1562,3.0143,-0.5781,1.5071,1.4941,2.0722,1.5071,0.0,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-1,Espanha
67,2026-06-27,Fase de grupos,L,3.0,Panamá,Inglaterra,0.859,1.333,0-1,0,1,Inglaterra,0.2332,0.2672,0.4997,,,,,média,0.03,66,12000,-3.9749,-2.86,0.06,0.62,1.01,-0.67,1.34,-24.0909,-3.9728,0.0,-5.0,-3.8,-0.988,0.0,-0.4847,-0.0558,-0.5394,-0.0547,0.0658,0.1216,-0.5019,-4.7486,-2.0,0.0,-4.531,0.1327,-2.2655,0.0664,0.0,2.2655,0.9492,0.8828,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-2,Inglaterra
68,2026-06-27,Fase de grupos,L,3.0,Croácia,Gana,1.224,0.927,1-0,1,0,Croácia,0.4466,0.2817,0.2717,,,,,baixa,0.031,67,12000,8.9513,9.74,0.64,1.18,1.17,1.14,1.53,-0.1818,10.5656,-1.8,4.0,1.0,0.0348,0.0,0.3603,-0.8015,0.0912,-0.269,-0.063,0.7385,-0.5124,-1.2558,1.0,2.0,2.2928,3.4799,1.1464,1.7399,1.6942,0.5478,1.7399,0.0,0.0,0.0,0.0,3.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-1,Croácia
69,2026-06-27,Fase de grupos,J,3.0,Argélia,Áustria,1.137,1.198,2-1,2,1,Argélia,0.3632,0.276,0.3608,,,,,baixa,0.031,68,12000,-3.4601,-2.95,-0.2,0.83,-0.49,-0.57,-0.56,-1.8182,-4.5056,-4.0,0.0,-3.0,0.4289,0.0,-0.0957,-0.1478,-0.0578,0.0379,-0.299,-0.1512,-0.6194,-0.021,-0.5,0.5,-0.9667,0.8605,-0.4834,0.4303,0.9524,1.4358,1.7883,1.3581,0.0,0.0,0.0,3.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-3,Empate
70,2026-06-27,Fase de grupos,J,3.0,Jordânia,Argentina,0.406,1.958,0-1,0,1,Argentina,0.0657,0.1768,0.7575,,,,,alta,0.031,69,12000,-17.0547,-15.12,-1.36,-0.62,-2.09,-0.5,-0.36,-32.3636,-16.2294,1.2,-5.0,-1.0,-1.6813,0.0,-0.4536,-0.8695,0.0564,0.51,-0.4296,0.44,-0.5973,-7.127,-1.5,2.5,-3.3237,4.5365,-1.6619,2.2682,1.1,2.7619,2.2682,0.0,0.0,0.0,0.0,3.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-3,Argentina
71,2026-06-27,Fase de grupos,K,3.0,Colômbia,Portugal,1.078,1.19,1-2,1,2,Portugal,0.3444,0.2836,0.372,,,,,baixa,0.031,70,12000,-3.0929,-3.48,-0.93,0.13,-0.92,0.6,-0.23,-5.0,-3.39,0.0,-1.2,0.0,0.4746,0.0,-0.2377,0.0785,0.273,0.5107,0.2656,0.1871,0.2553,2.2665,-1.0,0.0,-1.8995,0.0775,-0.9497,0.0387,1.9624,2.9121,0.52,0.4813,0.0,0.0,0.0,3.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-0,Empate
72,2026-06-27,Fase de grupos,K,3.0,RD Congo,Uzbequistão,1.482,0.876,1-0,1,0,RD Congo,0.4959,0.2867,0.2174,,,,,média,0.032,71,12000,6.9819,6.16,0.1,0.67,-0.29,0.16,-0.41,28.4545,5.1394,3.0,0.0,1.0,0.1721,0.0,-0.0689,0.9489,-0.2946,-0.2256,0.098,-0.8509,0.3324,1.2637,0.0,-3.0,0.0883,-5.141,0.0442,-2.5705,0.6004,0.5563,0.8637,3.4342,0.0,0.0,0.0,3.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,3-1,RD Congo
73,2026-06-28,16 avos de final,,0.0,África do Sul,Canadá,0.882,1.366,0-1,0,1,Canadá,0.2638,0.2726,0.4636,0.3844,0.6156,0.4425,Canadá,média,0.032,72,12000,-11.4905,-11.32,-0.39,-1.23,0.13,-0.27,-1.28,-23.9091,-12.9894,-1.0,-1.0,-3.0,0.6015,-0.0561,-0.4202,0.3763,-0.1036,0.3166,0.4496,0.0733,0.5847,0.2109,-2.0,0.0,-6.4894,0.0541,-2.1631,0.018,0.7125,2.8756,0.9303,0.9123,0.0,0.0,1.0,0.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,0-1,Canadá
74,2026-06-29,16 avos de final,,0.0,Alemanha,Paraguai,1.18,0.803,1-0,1,0,Alemanha,0.4357,0.3236,0.2407,0.6461,0.3539,0.6503,Alemanha,alta,0.032,73,12000,9.9013,9.59,-0.4,1.7,0.76,1.7,0.43,8.8182,11.0017,0.0,4.0,3.0,-0.0567,0.0774,0.6483,-0.7673,0.342,-0.3063,-0.419,0.3483,-4.754,1.9579,2.6667,0.0,7.9239,0.5386,2.6413,0.1795,3.4169,0.7756,1.2914,1.1119,0.0,0.0,1.0,0.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Paraguai
75,2026-06-29,16 avos de final,,0.0,Países Baixos,Marrocos,1.233,1.035,2-1,2,1,Países Baixos,0.4022,0.271,0.3269,0.5333,0.4667,0.484,Países Baixos,baixa,0.033,74,12000,5.0806,5.26,0.33,1.58,0.27,-0.63,0.42,2.9091,7.305,-1.2,3.0,1.8,-0.0601,0.0166,0.2076,-0.1747,0.8042,0.5966,-0.2637,-0.089,-4.0254,-0.5591,1.3333,0.3333,3.8615,0.9882,1.2872,0.3294,3.3976,2.1104,1.2799,0.9505,-1.0,0.0,1.0,0.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,1-1,Marrocos
76,2026-06-29,16 avos de final,,0.0,Brasil,Japão,1.37,0.855,1-0,1,0,Brasil,0.471,0.3006,0.2284,0.6694,0.3306,0.66,Brasil,alta,0.033,75,12000,2.2974,1.34,0.25,0.36,-0.92,1.17,0.27,3.0,1.4761,0.0,1.2,0.4,0.7881,0.0277,0.5027,0.4475,0.8629,0.3602,0.4993,0.0518,1.8567,2.6577,0.0,-0.6667,0.4155,-1.7388,0.1385,-0.5796,2.5071,2.3686,0.3168,0.8964,1.0,0.0,1.0,0.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Modelo diário recalibrado,Sim,Tabela base,Não,Sim,2-1,Brasil
77,2026-06-30,16 avos de final,,0.0,França,Suécia,1.611,0.829,1-0,1,0,França,0.5731,0.2409,0.186,0.7321,0.2679,0.66,França,alta,0.033,76,12000,6.004,4.3,0.74,0.45,0.62,0.57,0.86,-0.8182,4.7167,3.0,-1.8,0.0,1.3414,0.0644,0.746,0.4487,0.9983,0.2523,0.2388,-0.2099,-1.854,5.8657,1.0,-1.6667,3.6561,-4.4652,1.2187,-1.4884,3.5522,2.3335,0.5954,2.0838,-1.0,0.0,1.0,0.0,1-0,Não,,,,Classificação modelada,Projetado,Modelo diário recalibrado,Sim,Tabela base,Não,Não,,
78,2026-06-30,16 avos de final,,0.0,Costa do Marfim,Noruega,1.215,1.071,2-1,2,1,Costa do Marfim,0.3745,0.3083,0.3172,0.5202,0.4798,0.4727,Costa do Marfim,baixa,0.033,76,12000,-2.1344,-2.32,-0.28,0.25,0.49,-0.97,-0.23,-4.1818,-4.0217,1.2,0.0,1.8,0.4494,-0.0049,-0.4123,0.9697,0.1427,0.555,0.26,-0.7098,0.8213,-0.0378,-1.3333,-1.6667,-4.1153,-4.6271,-1.3718,-1.5424,1.3904,2.7622,0.5882,2.1306,1.0,0.0,1.0,0.0,2-1,Não,,,,Classificação modelada,Projetado,Modelo diário recalibrado,Sim,Tabela base,Não,Não,,
79,2026-06-30,16 avos de final,,0.0,México,Equador,1.154,0.581,1-0,1,0,México,0.5144,0.3045,0.1811,0.7153,0.2847,0.66,México,alta,0.033,76,12000,5.2157,3.95,-0.65,1.97,0.37,1.1,0.99,-4.9091,3.1678,-1.0,-1.8,-1.2,0.7247,0.0564,0.4457,0.1321,0.5308,0.0851,0.5037,0.3716,-3.4329,5.0563,1.3333,-0.6667,3.8816,-1.8124,1.2939,-0.6041,2.0525,0.7586,0.0,0.6041,1.0,0.0,1.0,0.0,1-0,Não,,,,Classificação modelada,Projetado,Modelo diário recalibrado,Sim,Tabela base,Não,Não,,
