data_brt;grupo;jogo;selecao;jogador;posicao;tipo_desempenho;descricao;gols;assistencias;cartoes_amarelos;cartoes_vermelhos;defesas_ou_pênaltis;minutos;source_url;observacoes
2026-06-27;K;RD Congo 3 x 1 Uzbequistão;Uzbequistão;Abdukodir Khusanov;Defensor;Pênalti cometido;Cometeu pênalti sobre Wissa, lance que abriu a reação congolesa.;0;0;;;;;https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/;confirmado por match report
2026-06-29;;Brasil 2 x 1 Japão;Brasil;Casemiro;Meio-campo;MVP / gol / defesa;"Empatou aos 56; Sofascore Rating 8.0; 2/2 finalizações no alvo; xG 0.65; xGOT 0.72; 68/76 passes; 7/10 bolas longas; 91 toques; 4 cortes; 2 bloqueios; 1 interceptação; 4 recuperações; 4 duelos vencidos.";1;0;1.0;0.0;NA;90+2;https://www.sofascore.com/news/brazil-2-1-japan-casemiro-leads-late-turnaround | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Estatísticas individuais disponíveis apenas para Casemiro de forma completa.
2026-06-29;;Brasil 2 x 1 Japão;Brasil;Gabriel Martinelli;Atacante;Gol decisivo;Entrou aos 66 e marcou o gol da vitória aos 90+6 após assistência de Bruno Guimarães.;1;0;0.0;0.0;NA;24+;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Minutos aproximados a partir da substituição aos 66.
2026-06-29;;Brasil 2 x 1 Japão;Brasil;Bruno Guimarães;Meio-campo;Assistência decisiva;Assistiu o gol de Gabriel Martinelli aos 90+6.;0;1;0.0;0.0;NA;NA;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Sem tabela individual completa acessível.
2026-06-29;;Brasil 2 x 1 Japão;Brasil;Gabriel Magalhães;Defensor;Assistência;Assistiu Casemiro no gol de empate aos 56.;0;1;0.0;0.0;NA;NA;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Sem tabela individual completa acessível.
2026-06-29;;Brasil 2 x 1 Japão;Brasil;Endrick;Atacante;Impacto saindo do banco;"Entrou no intervalo; uma finalização e três recuperações segundo Sofascore.";0;0;0.0;0.0;NA;45+;https://www.sofascore.com/news/brazil-2-1-japan-casemiro-leads-late-turnaround | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Minutos aproximados a partir da entrada no intervalo.
2026-06-29;;Brasil 2 x 1 Japão;Japão;Kaishu Sano;Meio-campo;Gol / cartão;Abriu o placar aos 29 após roubo/interceptação e recebeu amarelo aos 12.;1;0;1.0;0.0;NA;NA;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Sem tabela individual completa acessível.
2026-06-29;;Brasil 2 x 1 Japão;Japão;Zion Suzuki;Goleiro;Defesa importante;Defendeu chute de Vinícius Jr. e desviou para o poste/trave.;0;0;0.0;0.0;1 defesa destacada;NA;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/;Fonte não traz total de defesas.
2026-06-29;;Brasil 2 x 1 Japão;Brasil;Danilo;Defensor;Erro / cartão;"Erro de passe na origem do gol japonês; amarelo aos 48.";0;0;1.0;0.0;NA;NA;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Registro negativo relevante para leitura de desempenho.
2026-06-29;;Brasil 2 x 1 Japão;Japão;Daichi Kamada;Meio-campo;Cartão amarelo;Recebeu amarelo aos 45.;0;0;1.0;0.0;NA;NA;https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Evento confirmado no match centre.
2026-06-29;;Brasil 2 x 1 Japão;Japão;Junnosuke Suzuki;Meio-campo;Cartão amarelo;Entrou aos 66 e recebeu amarelo aos 84.;0;0;1.0;0.0;NA;24+;https://www.sofascore.com/football/match/japan-brazil/YUbsvVb;Minutos aproximados a partir da substituição aos 66.
