ID jogo;Data;Jogo;Jogador;Seleção;Tipo de desempenho;Detalhe pesquisado;Fonte
39;2026-06-21;Uruguai 2-2 Cabo Verde;Federico Valverde;Uruguai;Criação/volume;Liderou volume de finalizações e passes no terço final.;https://www.reuters.com/sports/soccer/cape-verde-hold-uruguay-2-2-world-cup-2026-2026-06-21/
39;2026-06-21;Uruguai 2-2 Cabo Verde;Maxi Araújo;Uruguai;Gol;Marcou para o Uruguai.;https://www.reuters.com/sports/soccer/cape-verde-hold-uruguay-2-2-world-cup-2026-2026-06-21/
40;2026-06-21;Nova Zelândia 1-3 Egito;Mohamed Salah;Egito;Gol + assistência;Marcou o gol da virada e assistiu Trézéguet.;https://www.reuters.com/sports/soccer/egypt-beat-new-zealand-3-1-world-cup-2026-2026-06-21/
40;2026-06-21;Nova Zelândia 1-3 Egito;Mostafa Zico;Egito;Gol + tabela;Empatou e participou da jogada do gol de Salah.;https://www.reuters.com/sports/soccer/egypt-beat-new-zealand-3-1-world-cup-2026-2026-06-21/
40;2026-06-21;Nova Zelândia 1-3 Egito;Trézéguet;Egito;Gol;Fez o terceiro de cabeça em cobrança de escanteio.;https://www.reuters.com/sports/soccer/egypt-beat-new-zealand-3-1-world-cup-2026-2026-06-21/
40;2026-06-21;Nova Zelândia 1-3 Egito;Finn Surman;Nova Zelândia;Gol;Abriu o placar para a Nova Zelândia.;https://www.reuters.com/sports/soccer/egypt-beat-new-zealand-3-1-world-cup-2026-2026-06-21/
41;2026-06-22;Argentina 2-0 Áustria;Lionel Messi;Argentina;2 gols + pênalti perdido;Perdeu pênalti, mas decidiu com dois gols e recorde histórico.;https://theanalyst.com/na/2026/06/argentina-austria-stats-messi-world-cup-record
42;2026-06-22;França 3-0 Iraque;Kylian Mbappé;França;2 gols/MVP;Marcou duas vezes no 100º jogo pela França.;https://www.theguardian.com/football/2026/jun/22/france-iraq-world-cup-2026-match-report
42;2026-06-22;França 3-0 Iraque;Ousmane Dembélé;França;Gol;Entrou/foi preservado e marcou o terceiro.;https://www.theguardian.com/football/2026/jun/22/france-iraq-world-cup-2026-match-report
43;2026-06-22;Noruega 3-2 Senegal;Erling Haaland;Noruega;2 gols/MVP;Marcou aos 48 e 58 minutos e confirmou fase goleadora.;https://www.reuters.com/sports/soccer/haaland-norway-beat-senegal-3-2-world-cup-2026-2026-06-22/
43;2026-06-22;Noruega 3-2 Senegal;Marcus Holmgren Pedersen;Noruega;Gol;Abriu o placar norueguês.;https://www.reuters.com/sports/soccer/haaland-norway-beat-senegal-3-2-world-cup-2026-2026-06-22/
43;2026-06-22;Noruega 3-2 Senegal;Ismaïla Sarr;Senegal;Gol;Marcou na reação senegalesa.;https://www.reuters.com/sports/soccer/haaland-norway-beat-senegal-3-2-world-cup-2026-2026-06-22/
43;2026-06-22;Noruega 3-2 Senegal;Senegal - gol nos acréscimos;Senegal;Gol tardio;Reduziu aos 90+3, mas sem tempo para empatar.;https://www.reuters.com/sports/soccer/haaland-norway-beat-senegal-3-2-world-cup-2026-2026-06-22/
44;2026-06-23;Jordânia 1-2 Argélia;Amine Gouiri;Argélia;Gol decisivo;Marcou o gol da virada aos 82 minutos.;https://www.theguardian.com/football/2026/jun/23/jordan-algeria-world-cup-2026-match-report
44;2026-06-23;Jordânia 1-2 Argélia;Ibrahim Maza;Argélia;Impacto criativo;Foi instrumental na reação argelina.;https://www.theguardian.com/football/2026/jun/23/jordan-algeria-world-cup-2026-match-report
44;2026-06-23;Jordânia 1-2 Argélia;Nadhir Benbouali;Argélia;Gol de banco;Empatou aos 69 minutos.;https://www.theguardian.com/football/2026/jun/23/jordan-algeria-world-cup-2026-match-report
44;2026-06-23;Jordânia 1-2 Argélia;Riyad Mahrez;Argélia;Criação;Liderou chances criadas e cruzamentos na análise estatística.;https://www.theguardian.com/football/2026/jun/23/jordan-algeria-world-cup-2026-match-report
44;2026-06-23;Jordânia 1-2 Argélia;Nizar Al-Rashdan;Jordânia;Gol;Abriu o placar aos 36 minutos.;https://www.theguardian.com/football/2026/jun/23/jordan-algeria-world-cup-2026-match-report
45;2026-06-23;Portugal 5-0 Uzbequistão;Bruno Fernandes;Portugal;Assistência/criação;Serviu Ronaldo no terceiro e foi peça central no jogo entrelinhas.;https://www.portugoal.net/selecao/5871-portugal-5-0-uzbekistan-report-2026-world-cup
45;2026-06-23;Portugal 5-0 Uzbequistão;Cristiano Ronaldo;Portugal;2 gols/Destaque;Marcou aos 6 e 39 minutos e fez história ao marcar em seis Copas.;https://www.portugoal.net/selecao/5871-portugal-5-0-uzbekistan-report-2026-world-cup
45;2026-06-23;Portugal 5-0 Uzbequistão;João Cancelo;Portugal;Assistência/apoio;Cruzou para o primeiro gol de Ronaldo.;https://www.portugoal.net/selecao/5871-portugal-5-0-uzbekistan-report-2026-world-cup
45;2026-06-23;Portugal 5-0 Uzbequistão;Nuno Mendes;Portugal;Gol;Cobrou falta e marcou o segundo gol.;https://www.portugoal.net/selecao/5871-portugal-5-0-uzbekistan-report-2026-world-cup
45;2026-06-23;Portugal 5-0 Uzbequistão;Pedro Neto;Portugal;Geração de falta;Sofreu falta que originou o gol de Nuno Mendes.;https://www.portugoal.net/selecao/5871-portugal-5-0-uzbekistan-report-2026-world-cup
46;2026-06-23;Inglaterra 0-0 Gana;Jerome Opoku;Gana;Defesa/Destaque;Teve avaliação alta pelo controle defensivo.;https://www.theguardian.com/football/2026/jun/23/england-ghana-player-ratings-world-cup-2026
46;2026-06-23;Inglaterra 0-0 Gana;Jonas Adjetey;Gana;Defesa/Destaque;Ajudou a anular o ataque inglês.;https://www.theguardian.com/football/2026/jun/23/england-ghana-player-ratings-world-cup-2026
46;2026-06-23;Inglaterra 0-0 Gana;Thomas Partey;Gana;Meio-campo;Contribuiu para neutralizar a Inglaterra.;https://www.theguardian.com/football/2026/jun/23/england-ghana-player-ratings-world-cup-2026
46;2026-06-23;Inglaterra 0-0 Gana;Anthony Gordon;Inglaterra;Rendimento abaixo;Teve baixa avaliação por pouca efetividade.;https://www.theguardian.com/football/2026/jun/23/england-ghana-player-ratings-world-cup-2026
46;2026-06-23;Inglaterra 0-0 Gana;Bukayo Saka;Inglaterra;Impacto de banco;Entrou e elevou ameaça ofensiva.;https://www.theguardian.com/football/2026/jun/23/england-ghana-player-ratings-world-cup-2026
46;2026-06-23;Inglaterra 0-0 Gana;Declan Rice;Inglaterra;Destaque inglês;Foi o inglês mais consistente nas avaliações.;https://www.theguardian.com/football/2026/jun/23/england-ghana-player-ratings-world-cup-2026
47;2026-06-23;Panamá 0-1 Croácia;Ante Budimir;Croácia;Gol decisivo;Marcou o único gol do jogo.;https://www.theguardian.com/football/2026/jun/24/croatia-panama-world-cup-2026-match-report
47;2026-06-23;Panamá 0-1 Croácia;Dominik Livaković;Croácia;Goleiro;Teve papel de segurança em jogo de margem mínima.;https://www.theguardian.com/football/2026/jun/24/croatia-panama-world-cup-2026-match-report
47;2026-06-23;Panamá 0-1 Croácia;Luka Modrić;Croácia;Marco/liderança;Chegou ao 200º jogo pela Croácia e liderou emocionalmente a equipe.;https://www.theguardian.com/football/2026/jun/24/croatia-panama-world-cup-2026-match-report
48;2026-06-23;Colômbia 1-0 RD do Congo;Daniel Muñoz;Colômbia;Gol decisivo;Marcou aos 76 minutos e classificou a Colômbia.;https://www.theguardian.com/football/live/2026/jun/24/fifa-world-cup-2026-live-colombia-v-dr-congo-updates-col-vs-cod-group-k-match-score-latest
48;2026-06-23;Colômbia 1-0 RD do Congo;Luis Díaz;Colômbia;Ameaça ofensiva;Foi uma das principais ameaças e exigiu defesa de Mpasi.;https://www.theguardian.com/football/live/2026/jun/24/fifa-world-cup-2026-live-colombia-v-dr-congo-updates-col-vs-cod-group-k-match-score-latest
48;2026-06-23;Colômbia 1-0 RD do Congo;Lionel Mpasi;RD do Congo;Goleiro/Destaque rival;Fez cinco defesas difíceis nos primeiros 20 minutos.;https://www.theguardian.com/football/live/2026/jun/24/fifa-world-cup-2026-live-colombia-v-dr-congo-updates-col-vs-cod-group-k-match-score-latest
49;2026-06-24;Suíça 2-1 Canadá;Promise David;Canadá;Gol de banco;Entrou e reduziu para o Canadá.;https://www.theguardian.com/football/2026/jun/24/switzerland-canada-world-cup-2026-match-report
49;2026-06-24;Suíça 2-1 Canadá;Johan Manzambi;Suíça;Gol;Ampliou e manteve sua boa fase no torneio.;https://www.theguardian.com/football/2026/jun/24/switzerland-canada-world-cup-2026-match-report
49;2026-06-24;Suíça 2-1 Canadá;Rubén Vargas;Suíça;Gol;Marcou no início do segundo tempo.;https://www.theguardian.com/football/2026/jun/24/switzerland-canada-world-cup-2026-match-report
50;2026-06-24;Bósnia e Herzegovina 3-1 Catar;Edin Džeko;Bósnia e Herzegovina;Marco/liderança;Chegou ao 150º jogo pela seleção.;https://www.theguardian.com/football/2026/jun/24/bosnia-qatar-world-cup-2026-match-report
50;2026-06-24;Bósnia e Herzegovina 3-1 Catar;Ermin Mahmić;Bósnia e Herzegovina;Gol;Marcou na reta final.;https://www.theguardian.com/football/2026/jun/24/bosnia-qatar-world-cup-2026-match-report
50;2026-06-24;Bósnia e Herzegovina 3-1 Catar;Kerim Alajbegović;Bósnia e Herzegovina;Gol/Destaque;Abriu o placar com finalização elogiada.;https://www.theguardian.com/football/2026/jun/24/bosnia-qatar-world-cup-2026-match-report
50;2026-06-24;Bósnia e Herzegovina 3-1 Catar;Hassan Al-Haydos;Catar;Gol;Reduziu para o Catar.;https://www.theguardian.com/football/2026/jun/24/bosnia-qatar-world-cup-2026-match-report
51;2026-06-24;Escócia 0-3 Brasil;Bruno Guimarães;Brasil;2 assistências/Destaque;Serviu Vini e Cunha, além de contribuir defensivamente.;https://www.reuters.com/sports/soccer/brazil-beat-scotland-3-0-world-cup-2026-2026-06-24/
51;2026-06-24;Escócia 0-3 Brasil;Lucas Paquetá;Brasil;Criação;Criou quatro chances segundo análise de desempenho.;https://www.reuters.com/sports/soccer/brazil-beat-scotland-3-0-world-cup-2026-2026-06-24/
51;2026-06-24;Escócia 0-3 Brasil;Matheus Cunha;Brasil;Gol;Fez o terceiro gol, mantendo sequência goleadora.;https://www.reuters.com/sports/soccer/brazil-beat-scotland-3-0-world-cup-2026-2026-06-24/
51;2026-06-24;Escócia 0-3 Brasil;Neymar;Brasil;Retorno/criação;Voltou e criou chances.;https://www.reuters.com/sports/soccer/brazil-beat-scotland-3-0-world-cup-2026-2026-06-24/
51;2026-06-24;Escócia 0-3 Brasil;Vinícius Jr.;Brasil;2 gols/MVP;Marcou aos 7 e no fim do primeiro tempo.;https://www.reuters.com/sports/soccer/brazil-beat-scotland-3-0-world-cup-2026-2026-06-24/
52;2026-06-24;Marrocos 4-2 Haiti;Haiti - ataque;Haiti;Resiliência ofensiva;Marcou duas vezes e forçou Marrocos a reagir.;https://www.skysports.com/football/news/12098/13554975/world-cup-2026-morocco-4-2-haiti-late-soufiane-rahimi-and-gessime-yassine-goals-earns-win-as-atlas-lions-finish-second-in-group-c
52;2026-06-24;Marrocos 4-2 Haiti;Gessime Yassine;Marrocos;Gol tardio;Fez o quarto gol para confirmar a vitória.;https://www.skysports.com/football/news/12098/13554975/world-cup-2026-morocco-4-2-haiti-late-soufiane-rahimi-and-gessime-yassine-goals-earns-win-as-atlas-lions-finish-second-in-group-c
52;2026-06-24;Marrocos 4-2 Haiti;Ismael Saibari;Marrocos;Gol/regularidade;Fez o empate em 2-2 e marcou em todos os jogos do grupo.;https://www.skysports.com/football/news/12098/13554975/world-cup-2026-morocco-4-2-haiti-late-soufiane-rahimi-and-gessime-yassine-goals-earns-win-as-atlas-lions-finish-second-in-group-c
52;2026-06-24;Marrocos 4-2 Haiti;Soufiane Rahimi;Marrocos;Gol tardio;Marcou nos minutos finais e virou o jogo.;https://www.skysports.com/football/news/12098/13554975/world-cup-2026-morocco-4-2-haiti-late-soufiane-rahimi-and-gessime-yassine-goals-earns-win-as-atlas-lions-finish-second-in-group-c
53;2026-06-24;República Tcheca 0-3 México;Julián Quiñones;México;Gol;Marcou novamente no torneio.;https://www.bavarianfootballworks.com/fifa-world-cup/221506/mexico-beat-czech-republic-world-cup-2026
53;2026-06-24;República Tcheca 0-3 México;Mateo Chávez;México;Gol;Abriu caminho na vitória mexicana.;https://www.bavarianfootballworks.com/fifa-world-cup/221506/mexico-beat-czech-republic-world-cup-2026
53;2026-06-24;República Tcheca 0-3 México;Álvaro Fidalgo;México;Gol;Fez o terceiro gol mexicano.;https://www.bavarianfootballworks.com/fifa-world-cup/221506/mexico-beat-czech-republic-world-cup-2026
54;2026-06-24;África do Sul 1-0 República da Coreia;Teboho Mokoena;África do Sul;Retorno/estrutura;Retorno citado como peça importante no meio-campo sul-africano.;https://www.bavarianfootballworks.com/fifa-world-cup/221507/south-africa-beat-south-korea-world-cup-2026
54;2026-06-24;África do Sul 1-0 República da Coreia;Thapelo Maseko;África do Sul;Gol decisivo;Marcou o gol da vitória.;https://www.bavarianfootballworks.com/fifa-world-cup/221507/south-africa-beat-south-korea-world-cup-2026
55;2026-06-25;Curaçao 0-2 Costa do Marfim;Nicolas Pépé;Costa do Marfim;2 gols/MVP;Marcou os dois gols da vitória marfinense.;https://timesofindia.indiatimes.com/sports/football/fifa-world-cup-2026/world-cup-2026-nicolas-pepe-brace-cote-divoire-curacao/articleshow/121994001.cms
56;2026-06-25;Equador 2-1 Alemanha;Jonathan Tah;Alemanha;Defesa positiva parcial;Teve bons lances defensivos, mas equipe falhou coletivamente.;https://www.reuters.com/sports/soccer/ecuador-beat-germany-2-1-world-cup-2026-2026-06-25/
56;2026-06-25;Equador 2-1 Alemanha;Leroy Sané;Alemanha;Gol;Marcou no segundo minuto, mas teve atuação geral irregular nas análises.;https://www.reuters.com/sports/soccer/ecuador-beat-germany-2-1-world-cup-2026-2026-06-25/
56;2026-06-25;Equador 2-1 Alemanha;Gonzalo Plata;Equador;Gol decisivo;Marcou aos 78 após bola parada/corner.;https://www.reuters.com/sports/soccer/ecuador-beat-germany-2-1-world-cup-2026-2026-06-25/
56;2026-06-25;Equador 2-1 Alemanha;Moisés Caicedo;Equador;Destaque de meio-campo;Dominou o centro e sustentou a reação equatoriana.;https://www.reuters.com/sports/soccer/ecuador-beat-germany-2-1-world-cup-2026-2026-06-25/
56;2026-06-25;Equador 2-1 Alemanha;Nilson Angulo;Equador;Gol;Empatou aos 9 minutos.;https://www.reuters.com/sports/soccer/ecuador-beat-germany-2-1-world-cup-2026-2026-06-25/
57;2026-06-25;Japão 1-1 Suécia;Daizen Maeda;Japão;Gol;Marcou aos 56 minutos em jogada iniciada por Ritsu Doan.;https://www.reuters.com/sports/soccer/japan-sweden-draw-1-1-world-cup-2026-2026-06-25/
57;2026-06-25;Japão 1-1 Suécia;Ritsu Doan;Japão;Construção;Iniciou/participou da jogada do gol japonês.;https://www.reuters.com/sports/soccer/japan-sweden-draw-1-1-world-cup-2026-2026-06-25/
57;2026-06-25;Japão 1-1 Suécia;Zion Suzuki;Japão;Goleiro/Destaque;Fez defesas importantes contra Isak.;https://www.reuters.com/sports/soccer/japan-sweden-draw-1-1-world-cup-2026-2026-06-25/
57;2026-06-25;Japão 1-1 Suécia;Anthony Elanga;Suécia;Gol;Empatou com finalização de longe.;https://www.reuters.com/sports/soccer/japan-sweden-draw-1-1-world-cup-2026-2026-06-25/
57;2026-06-25;Japão 1-1 Suécia;Viktor Gyökeres;Suécia;Construção/apoio;Participou do lance do gol sueco.;https://www.reuters.com/sports/soccer/japan-sweden-draw-1-1-world-cup-2026-2026-06-25/
58;2026-06-25;Tunísia 1-3 Holanda;Brian Brobbey;Holanda;Gol;Marcou novamente na fase de grupos.;https://www.theguardian.com/football/2026/jun/25/tunisia-netherlands-world-cup-2026-match-report
58;2026-06-25;Tunísia 1-3 Holanda;Frenkie de Jong;Holanda;Meio-campo/Destaque;Teve atuação forte no controle do jogo.;https://www.theguardian.com/football/2026/jun/25/tunisia-netherlands-world-cup-2026-match-report
58;2026-06-25;Tunísia 1-3 Holanda;Jan Paul van Hecke;Holanda;Gol;Fez um dos gols holandeses.;https://www.theguardian.com/football/2026/jun/25/tunisia-netherlands-world-cup-2026-match-report
58;2026-06-25;Tunísia 1-3 Holanda;Tunísia - defesa;Tunísia;Rendimento negativo coletivo;Sofreu com erros/fragilidade defensiva.;https://www.theguardian.com/football/2026/jun/25/tunisia-netherlands-world-cup-2026-match-report
59;2026-06-25;Turquia 3-2 Estados Unidos;Auston Trusty;Estados Unidos;Gol;Abriu o placar para os EUA, mas depois saiu/teve questão física citada.;https://apnews.com/article/world-cup-turkey-united-states-pulisic-guler-2026
59;2026-06-25;Turquia 3-2 Estados Unidos;Christian Pulisic;Estados Unidos;Criação;Retornou e ajudou a criar volume ofensivo.;https://apnews.com/article/world-cup-turkey-united-states-pulisic-guler-2026
59;2026-06-25;Turquia 3-2 Estados Unidos;Sebastian Berhalter;Estados Unidos;Gol;Empatou para os EUA antes da virada final.;https://apnews.com/article/world-cup-turkey-united-states-pulisic-guler-2026
59;2026-06-25;Turquia 3-2 Estados Unidos;Arda Güler;Turquia;Gol + assistência/criação;Marcou e participou diretamente de outro gol turco.;https://apnews.com/article/world-cup-turkey-united-states-pulisic-guler-2026
59;2026-06-25;Turquia 3-2 Estados Unidos;Kaan Ayhan;Turquia;Gol decisivo;Marcou o gol da vitória nos acréscimos.;https://apnews.com/article/world-cup-turkey-united-states-pulisic-guler-2026
59;2026-06-25;Turquia 3-2 Estados Unidos;Orkun Kökçü / Barış Alper Yılmaz;Turquia;Gol - divergência de fonte;Há divergência nas fontes sobre o autor de um dos gols turcos.;https://apnews.com/article/world-cup-turkey-united-states-pulisic-guler-2026
60;2026-06-25;Paraguai 0-0 Austrália;Aiden O'Neill;Austrália;Meio-campo/MVP;Foi eleito destaque/teve grande atuação de combate.;https://www.theguardian.com/football/2026/jun/25/paraguay-australia-player-ratings-world-cup-2026
60;2026-06-25;Paraguai 0-0 Austrália;Alessandro Circati;Austrália;Defesa;Ajudou a neutralizar Gabriel Ávalos.;https://www.theguardian.com/football/2026/jun/25/paraguay-australia-player-ratings-world-cup-2026
60;2026-06-25;Paraguai 0-0 Austrália;Harry Souttar;Austrália;Defesa;Participou do bloqueio defensivo central.;https://www.theguardian.com/football/2026/jun/25/paraguay-australia-player-ratings-world-cup-2026
60;2026-06-25;Paraguai 0-0 Austrália;Jordy Bos;Austrália;Defesa/Destaque;Teve atuação forte no sistema 5-2-3.;https://www.theguardian.com/football/2026/jun/25/paraguay-australia-player-ratings-world-cup-2026
60;2026-06-25;Paraguai 0-0 Austrália;Patrick Beach;Austrália;Goleiro/Destaque;Fez defesa tardia importante e ajudou no clean sheet.;https://www.theguardian.com/football/2026/jun/25/paraguay-australia-player-ratings-world-cup-2026
60;2026-06-25;Paraguai 0-0 Austrália;Julio Enciso;Paraguai;Ameaça ofensiva;Foi um dos principais jogadores de ataque do Paraguai.;https://www.theguardian.com/football/2026/jun/25/paraguay-australia-player-ratings-world-cup-2026
60;2026-06-25;Paraguai 0-0 Austrália;Omar Alderete;Paraguai;Lesão;Saiu lesionado, afetando a estrutura defensiva.;https://www.theguardian.com/football/2026/jun/25/paraguay-australia-player-ratings-world-cup-2026
61;2026-06-26;Noruega 1 x 4 França;Aurélien Tchouaméni;França;Contribuição ofensiva e cartão;"Assistência para o 3º gol de Dembélé aos 32; cartão amarelo aos 74. | gols: 0; assistências: 1; amarelos: 1.0";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Bradley Barcola;França;Impacto saindo do banco;"Entrou aos 65; assistência para Doué no 4º gol; finalização no alvo aos 81. | gols: 0; assistências: 1";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Désiré Doué;França;Impacto ofensivo;"Marcou o 4º gol aos 90+3; também teve finalizações no alvo no início do jogo. | gols: 1; assistências: 0";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Kylian Mbappé;França;Criador decisivo;"2 assistências; 2 finalizações no alvo; 27 passes; assistiu os gols de Dembélé aos 7 e 20. | gols: 0; assistências: 2";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Mike Maignan;França;Defensivo decisivo;"Defendeu/segurou pênalti de Jørgen Strand Larsen aos 50, evitando reação norueguesa. | gols: 0; assistências: 0; defesas/pênaltis: 1 pênalti defendido";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Ousmane Dembélé;França;Destaque máximo;"3 gols; 25 passes; gols aos 7, 20 e 32 minutos; hat-trick no 1º tempo. | gols: 3; assistências: 0";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Andreas Schjelderup;Noruega;Criação ofensiva;"1 assistência para Aasgaard; 23 passes. | gols: 0; assistências: 1";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Jørgen Strand Larsen;Noruega;Desempenho negativo no lance-chave;"Finalização aos 14; finalização no alvo e pênalti perdido aos 50 quando Noruega ainda perdia por 3-1. | gols: 0; assistências: 0; defesas/pênaltis: 0/1 pênaltis";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Patrick Berg;Noruega;Advertido;"Cartão amarelo aos 10; cobrou escanteios no 2º tempo. | gols: 0; assistências: 0; amarelos: 1.0";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
61;2026-06-26;Noruega 1 x 4 França;Thèlo Aasgaard;Noruega;Destaque da Noruega;"1 gol aos 21; 37 passes; principal produção ofensiva norueguesa. | gols: 1; assistências: 0";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676
62;2026-06-26;Senegal 5 x 0 Iraque;Rebin Sulaka;Iraque;Desempenho negativo;"Expulso aos 13 após falta em Sadio Mané que impediu chance clara de gol. | gols: 0; assistências: 0; vermelhos: 1.0";https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/
62;2026-06-26;Senegal 5 x 0 Iraque;Zidane Iqbal;Iraque;Erro punido;"Perdeu a posse para Lamine Camara no lance que originou o gol de Sarr. | gols: 0; assistências: 0";https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026
62;2026-06-26;Senegal 5 x 0 Iraque;Habib Diarra;Senegal;Abertura do placar;"Fez o 1º gol aos 4, completando de perto após lance de escanteio. | gols: 1; assistências: 0";https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026
62;2026-06-26;Senegal 5 x 0 Iraque;Iliman Ndiaye;Senegal;Impacto final;"Fez o 5º gol aos 82 e também registrou assistência; Opta destaca assistência como substituto. | gols: 1; assistências: 1";https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026
62;2026-06-26;Senegal 5 x 0 Iraque;Ismaïla Sarr;Senegal;Destaque/recorde;"Fez gol aos 56; terminou com gol e assistência; tornou-se maior artilheiro senegalês em Copas, com 4 gols. | gols: 1; assistências: 1";https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026
62;2026-06-26;Senegal 5 x 0 Iraque;Lamine Camara;Senegal;Pressão e assistência;"Desarmou/roubou a bola de Zidane Iqbal e avançou para servir Sarr no 2º gol. | gols: 0; assistências: 1";https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026
62;2026-06-26;Senegal 5 x 0 Iraque;Pape Gueye;Senegal;Impacto saindo do banco;"Entrou no 2º tempo e marcou dois gols de longa distância, aos 59 e 71; também registrou assistência segundo Opta. | gols: 2; assistências: 1";https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026
62;2026-06-26;Senegal 5 x 0 Iraque;Sadio Mané;Senegal;Gerou lance decisivo;"Sofreu falta de Rebin Sulaka no lance que gerou vermelho; teve falta defendida por Basil e finalização por cima antes do intervalo. | gols: 0; assistências: 0";https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026
63;2026-06-27;Egito 1 x 1 Irã;Mohamed Salah;Egito;Lesão/risco físico;"Saiu com lesão muscular; EFA iniciou tratamento e não confirmou retorno imediato. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/
63;2026-06-27;Egito 1 x 1 Irã;Saber;Egito;Gol;"Abriu o placar aos 5 minutos. | gols: 1; assistências: 0";https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest
63;2026-06-27;Egito 1 x 1 Irã;Mehdi Taremi;Irã;Volume ofensivo/desperdício;"Teve pênalti defendido e cabeçada no travessão. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/
63;2026-06-27;Egito 1 x 1 Irã;Ramin Rezaeian;Irã;Gol;"Empatou aos 14 minutos. | gols: 1; assistências: 0";https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest
63;2026-06-27;Egito 1 x 1 Irã;Shoja Khalilzadeh;Irã;Gol anulado;"Teve gol anulado nos acréscimos por impedimento. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest
64;2026-06-27;Nova Zelândia 1 x 5 Bélgica;Alexis Saelemaekers;Bélgica;Gol;"Fez o quinto gol belga nos acréscimos. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
64;2026-06-27;Nova Zelândia 1 x 5 Bélgica;Kevin De Bruyne;Bélgica;Gol e criação;"Assistiu o 1º gol de Trossard e marcou o 3º da Bélgica. | gols: 1; assistências: 1";https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
64;2026-06-27;Nova Zelândia 1 x 5 Bélgica;Leandro Trossard;Bélgica;Destaque máximo;"Marcou dois gols e também preparou o gol de De Bruyne. | gols: 2; assistências: 1";https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
64;2026-06-27;Nova Zelândia 1 x 5 Bélgica;Romelu Lukaku;Bélgica;Gol/recorde;"Marcou de cabeça e tornou-se maior artilheiro belga em Copas. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
64;2026-06-27;Nova Zelândia 1 x 5 Bélgica;Thibaut Courtois;Bélgica;Defesa importante;"Defendeu chute de Elijah Just aos 54 minutos. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
64;2026-06-27;Nova Zelândia 1 x 5 Bélgica;Elijah Just;Nova Zelândia;Gol;"Marcou o gol de honra da Nova Zelândia aos 84 minutos. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
