jogo;data;fase;equipe1;equipe2;placar_real;selecao;adversario;xg_pro;xg_contra;posse_pct;finalizacoes;finalizacoes_contra;finalizacoes_alvo;finalizacoes_alvo_contra;grandes_chances;grandes_chances_contra;toques_area;toques_area_contra;entradas_terco_final;entradas_terco_final_contra;passes_certos;passes_total;cruzamentos_certos;cruzamentos_total;duelos_aereos_ganhos;duelos_aereos_total;recuperacoes;clearances;interceptacoes;erros_gol;jogador_destaque;rating_sofascore;tipo_desempenho;detalhe_pesquisado;fonte;escopo_dado;gp;gf;ga;xg_total;gols_acima_xg;indice_desempenho_geral;impacto_modelo
55;2026-06-25;Fase de grupos;Curaçao;Costa do Marfim;0-2;Curaçao;Agregado fase de grupos;1.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 1 pts, 1-9 gols, saldo -8, xG 1.2, gols acima do xG -0.2, indice geral 13.33.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;1;9;1.2;-0.2;13.33;-1.293
67;2026-06-27;Fase de grupos;Panamá;Inglaterra;0-2;Panamá;Agregado fase de grupos;1.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 0 pts, 0-4 gols, saldo -4, xG 1.6, gols acima do xG -1.6, indice geral 12.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;0;4;1.6;-1.6;12;-1.197
50;2026-06-24;Fase de grupos;Marrocos;Haiti;4-2;Haiti;Agregado fase de grupos;1.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 0 pts, 2-8 gols, saldo -6, xG 1.6, gols acima do xG 0.4, indice geral 11.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;8;1.6;0.4;11;-1.274
72;2026-06-27;Fase de grupos;RD Congo;Uzbequistão;3-1;Uzbequistão;Agregado fase de grupos;1.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 0 pts, 2-11 gols, saldo -9, xG 1.4, gols acima do xG 0.6, indice geral 10.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;11;1.4;0.6;10.67;-1.5
58;2026-06-25;Fase de grupos;Tunísia;Países Baixos;1-3;Tunísia;Agregado fase de grupos;1.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 0 pts, 2-12 gols, saldo -10, xG 1.1, gols acima do xG 0.9, indice geral 10.17.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;12;1.1;0.9;10.17;-1.5
62;2026-06-26;Fase de grupos;Senegal;Iraque;5-0;Iraque;Agregado fase de grupos;1.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 0 pts, 1-12 gols, saldo -11, xG 1.1, gols acima do xG -0.1, indice geral 8.5.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;1;12;1.1;-0.1;8.5;-1.5
73;2026-06-28;16 avos de final;África do Sul;Canadá;0-1;Canadá;África do Sul;1.32;0.13;42;12;6;7;1;4;0;28;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stephen Eustáquio;NA;chance_quality_high;Canadá venceu com menor posse, mas criou muito mais perigo: xG 1.32 x 0.13, 7 x 1 no alvo e 4 x 0 grandes chances.;https://www.sofascore.com/news/south-africa-0-1-canada-eustaquios-stoppage-time-winner-sends-canada-through;jogo_mata_mata;NA;NA;NA;NA;NA;NA;1.05
73;2026-06-28;16 avos de final;África do Sul;Canadá;0-1;África do Sul;Canadá;0.13;1.32;58;6;12;1;7;0;4;9;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ronwen Williams;8.2;posse_sem_ameaca_goleiro_salvou;"África do Sul teve mais posse, mas quase não ameaçou; Ronwen Williams teve 5 defesas e evitou placar maior.";https://www.sofascore.com/news/south-africa-0-1-canada-eustaquios-stoppage-time-winner-sends-canada-through;jogo_mata_mata;NA;NA;NA;NA;NA;NA;-0.75
76;2026-06-29;16 avos de final;Brasil;Japão;2-1;Brasil;Japão;1.69;0.23;69;19;5;7;2;4;NA;35;11;107;44;625;682;NA;NA;NA;NA;NA;NA;NA;NA;Casemiro;8;dominio_territorial_virada;"Brasil dominou posse, xG, finalizações, entradas no terço final e toques na área; Casemiro foi decisivo.";https://www.sofascore.com/news/brazil-2-1-japan-casemiro-leads-late-turnaround;jogo_mata_mata;NA;NA;NA;NA;NA;NA;1.15
76;2026-06-29;16 avos de final;Brasil;Japão;2-1;Japão;Brasil;0.23;1.69;31;5;19;2;7;NA;4;11;35;44;107;261;315;NA;NA;NA;NA;NA;NA;NA;NA;Kaishu Sano;NA;baixo_volume_eficiente;Japão marcou primeiro, mas teve baixo volume ofensivo e pouca presença de área.;https://www.sofascore.com/news/brazil-2-1-japan-casemiro-leads-late-turnaround;jogo_mata_mata;NA;NA;NA;NA;NA;NA;-0.65
74;2026-06-29;16 avos de final;Alemanha;Paraguai;1-1 pen 3-4;Paraguai;Alemanha;NA;NA;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Julio Enciso / Orlando Gill;NA;bloco_baixo_resiliente_penaltis;Paraguai abriu o placar com Enciso, resistiu à pressão alemã, levou aos pênaltis e avançou por 4-3 nas cobranças.;https://www.theguardian.com/football/live/2026/jun/29/germany-v-paraguay-world-cup-2026-last-32-live | score-feed-worldcup-2026-06-29T23:36Z;jogo_mata_mata_penaltis;NA;NA;NA;NA;NA;NA;0.85
74;2026-06-29;16 avos de final;Alemanha;Paraguai;1-1 pen 3-4;Alemanha;Paraguai;NA;NA;79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Kai Havertz;NA;dominio_sem_classificacao;Alemanha teve domínio territorial e empatou com Havertz, mas não resolveu no tempo normal/prorrogação e caiu nos pênaltis.;https://www.theguardian.com/football/live/2026/jun/29/germany-v-paraguay-world-cup-2026-last-32-live | score-feed-worldcup-2026-06-29T23:36Z;jogo_mata_mata_penaltis;NA;NA;NA;NA;NA;NA;-0.35
